Animal,Day,Correct,Strategy,Correct arm,Reward zone,Start zone,Trial
SC11,SC11-0924-0119_resampled,0,2,2,1,1,106
SC11,SC11-0924-0119_resampled,1,2,2,2,1,107
SC11,SC11-0924-0119_resampled,1,2,2,2,2,108
SC11,SC11-0924-0119_resampled,0,2,2,1,1,109
SC11,SC11-0924-0119_resampled,0,2,2,1,1,110
SC11,SC11-0924-0119_resampled,1,2,2,2,1,111
SC11,SC11-0924-0119_resampled,1,2,2,2,2,112
SC11,SC11-0924-0119_resampled,1,2,2,2,2,113
SC11,SC11-0924-0119_resampled,1,2,2,2,2,114
SC11,SC11-0924-0119_resampled,1,2,2,2,1,115
SC11,SC11-0924-0119_resampled,1,2,2,2,1,116
SC11,SC11-0924-0119_resampled,1,2,2,2,2,117
SC11,SC11-0924-0119_resampled,0,2,2,1,1,118
SC11,SC11-0924-0119_resampled,1,2,2,2,1,119
SC11,SC11-0924-0119_resampled,1,2,2,2,1,120
SC11,SC11-0924-0119_resampled,1,2,2,2,1,121
SC11,SC11-0924-0119_resampled,0,2,2,1,2,122
SC11,SC11-0924-0119_resampled,1,2,2,2,2,123
SC11,SC11-0924-0119_resampled,1,2,2,2,1,124
SC11,SC11-0924-0119_resampled,1,2,2,2,2,125
SC11,SC11-0924-0119_resampled,0,3,1,2,1,126
SC11,SC11-0924-0119_resampled,0,3,1,2,1,127
SC11,SC11-0924-0119_resampled,0,3,1,2,1,128
SC11,SC11-0924-0119_resampled,0,3,1,2,1,129
SC11,SC11-0924-0119_resampled,0,3,1,2,1,130
SC11,SC11-0924-0119_resampled,0,3,1,2,1,131
SC11,SC11-0924-0119_resampled,0,3,1,2,1,132
SC11,SC11-0924-0119_resampled,0,3,1,2,1,133
SC11,SC11-0924-0119_resampled,0,3,1,2,1,134
SC11,SC11-0924-0119_resampled,1,3,1,1,1,135
SC11,SC11-0924-0119_resampled,0,3,1,2,1,136
SC11,SC11-0924-0119_resampled,1,3,1,1,1,137
SC11,SC11-0924-0119_resampled,1,3,1,1,1,138
SC11,SC11-0924-0119_resampled,0,3,2,1,2,139
SC11,SC11-0924-0119_resampled,1,3,2,2,2,140
SC11,SC11-0924-0119_resampled,1,3,1,1,1,141
SC11,SC11-0924-0119_resampled,1,3,1,1,1,142
SC11,SC11-0924-0119_resampled,0,3,2,1,2,143
SC11,SC11-0924-0119_resampled,0,3,2,1,2,144
SC11,SC11-0924-0119_resampled,1,3,2,2,2,145
SC11,SC11-0924-0119_resampled,1,3,1,1,1,146
SC11,SC11-0924-0119_resampled,0,3,1,2,1,147
SC11,SC11-0924-0119_resampled,0,3,1,2,1,148
SC11,SC11-0924-0119_resampled,1,3,1,1,1,149
SC11,SC11-0924-0119_resampled,0,3,2,1,2,150
SC11,SC11-0924-0119_resampled,0,3,2,1,2,151
SC11,SC11-0924-0119_resampled,1,3,2,2,2,152
SC11,SC11-0924-0119_resampled,1,3,1,1,1,153
SC11,SC11-0924-0119_resampled,1,3,1,1,1,154
SC11,SC11-0924-0119_resampled,0,3,2,1,2,155
SC11,SC11-0924-0119_resampled,1,3,2,2,2,156
SC11,SC11-0924-0119_resampled,1,3,1,1,1,157
SC11,SC11-0924-0119_resampled,0,3,1,2,1,158
SC11,SC11-0924-0119_resampled,0,3,1,2,1,159
SC11,SC11-0924-0119_resampled,1,3,1,1,1,160
SC11,SC11-0924-0119_resampled,1,3,1,1,1,161
SC11,SC11-0924-0119_resampled,0,3,2,1,2,162
SC11,SC11-0924-0119_resampled,1,3,2,2,2,163
SC11,SC11-0924-0119_resampled,1,3,1,1,1,164
SC11,SC11-0924-0119_resampled,1,3,1,1,1,165
SC11,SC11-0924-0119_resampled,1,3,1,1,1,166
SC11,SC11-0924-0119_resampled,0,3,2,1,2,167
SC11,SC11-0924-0119_resampled,1,3,2,2,2,168
SC11,SC11-0924-0119_resampled,1,3,1,1,1,169
SC11,SC11-0924-0119_resampled,1,3,2,2,2,170
SC11,SC11-0924-0119_resampled,1,3,1,1,1,171
SC11,SC11-0924-0119_resampled,1,3,2,2,2,172
SC11,SC11-0924-0119_resampled,1,3,1,1,1,173
SC11,SC11-0924-0119_resampled,1,3,2,2,2,174
SC11,SC11-0924-0119_resampled,1,1,1,1,1,175
SC11,SC11-0924-0119_resampled,0,1,1,2,2,176
SC11,SC11-0924-0119_resampled,0,1,1,2,2,177
SC11,SC11-0924-0119_resampled,1,1,1,1,2,178
SC11,SC11-0924-0119_resampled,1,1,1,1,1,179
SC11,SC11-0924-0119_resampled,1,1,1,1,1,180
SC11,SC11-0924-0119_resampled,0,1,1,2,2,181
SC11,SC11-0924-0119_resampled,1,1,1,1,2,182
SC11,SC11-0924-0119_resampled,0,1,1,2,2,183
SC11,SC11-0924-0119_resampled,1,1,1,1,2,184
SC11,SC11-0924-0119_resampled,0,1,1,2,2,185
SC11,SC11-0924-0119_resampled,0,1,1,2,2,186
SC11,SC11-0924-0119_resampled,1,1,1,1,2,187
SC11,SC11-0924-0119_resampled,1,1,1,1,1,188
SC11,SC11-0924-0119_resampled,1,1,1,1,2,189
SC11,SC11-0924-0119_resampled,1,1,1,1,1,190
SC11,SC11-0924-0119_resampled,1,1,1,1,1,191
SC11,SC11-0924-0119_resampled,1,1,1,1,1,192
SC11,SC11-0924-0119_resampled,1,1,1,1,2,193
SC11,SC11-0924-0119_resampled,1,1,1,1,1,194
SC11,SC11-0924-0119_resampled,0,1,1,2,2,195
SC11,SC11-0924-0119_resampled,1,1,1,1,2,196
SC11,SC11-0924-0119_resampled,1,1,1,1,1,197
SC11,SC11-0924-0119_resampled,1,1,1,1,2,198
SC11,SC11-0924-0119_resampled,1,1,1,1,1,199
SC11,SC11-0924-0119_resampled,1,1,1,1,2,200
SC11,SC11-0924-0119_resampled,0,2,2,1,2,201
SC11,SC11-0924-0119_resampled,1,2,2,2,2,202
SC11,SC11-0924-0119_resampled,1,2,2,2,2,203
SC11,SC11-0924-0119_resampled,0,2,2,1,2,204
SC11,SC11-0924-0119_resampled,1,2,2,2,2,205
SC11,SC11-0924-0119_resampled,1,2,2,2,2,206
SC11,SC11-0924-0119_resampled,0,2,2,1,1,207
SC11,SC11-0924-0119_resampled,0,2,2,1,1,208
SC11,SC11-0924-0119_resampled,0,2,2,1,1,209
SC11,SC11-0924-0119_resampled,0,2,2,1,1,210
SC11,SC11-0924-0119_resampled,1,2,2,2,1,211
SC11,SC11-0924-0119_resampled,0,2,2,1,1,212
SC11,SC11-0924-0119_resampled,1,2,2,2,1,213
SC11,SC11-0924-0119_resampled,0,2,2,1,2,214
SC11,SC11-0924-0119_resampled,1,2,2,2,2,215
SC11,SC11-0924-0119_resampled,1,2,2,2,1,216
SC11,SC11-0924-0119_resampled,1,2,2,2,2,217
SC11,SC11-0924-0119_resampled,1,2,2,2,2,218
SC11,SC11-0924-0119_resampled,0,2,2,1,1,219
SC11,SC11-0924-0119_resampled,1,2,2,2,1,220
SC11,SC11-0924-0119_resampled,1,2,2,2,2,221
SC11,SC11-0924-0119_resampled,1,2,2,2,1,222
