Animal,Day,Correct,Strategy,Correct arm,Reward zone,Start zone,Trial
SC08,SC08-0508-0117_resampled,0,3,1,2,1,1
SC08,SC08-0508-0117_resampled,1,3,1,1,1,2
SC08,SC08-0508-0117_resampled,1,3,1,1,1,3
SC08,SC08-0508-0117_resampled,0,3,2,1,2,4
SC08,SC08-0508-0117_resampled,1,3,2,2,2,5
SC08,SC08-0508-0117_resampled,1,3,1,1,1,6
SC08,SC08-0508-0117_resampled,1,3,1,1,1,7
SC08,SC08-0508-0117_resampled,1,3,1,1,1,8
SC08,SC08-0508-0117_resampled,1,3,2,2,2,9
SC08,SC08-0508-0117_resampled,1,3,2,2,2,10
SC08,SC08-0508-0117_resampled,1,3,1,1,1,11
SC08,SC08-0508-0117_resampled,1,3,1,1,1,12
SC08,SC08-0508-0117_resampled,1,3,2,2,2,13
SC08,SC08-0508-0117_resampled,1,3,1,1,1,14
SC08,SC08-0508-0117_resampled,1,3,1,1,1,15
SC08,SC08-0508-0117_resampled,0,1,1,2,2,16
SC08,SC08-0508-0117_resampled,1,1,1,1,2,17
SC08,SC08-0508-0117_resampled,1,1,1,1,2,18
SC08,SC08-0508-0117_resampled,1,1,1,1,2,19
SC08,SC08-0508-0117_resampled,0,1,1,2,2,20
SC08,SC08-0508-0117_resampled,0,1,1,2,2,21
SC08,SC08-0508-0117_resampled,1,1,1,1,2,22
SC08,SC08-0508-0117_resampled,0,1,1,2,1,23
SC08,SC08-0508-0117_resampled,1,1,1,1,1,24
SC08,SC08-0508-0117_resampled,1,1,1,1,2,25
SC08,SC08-0508-0117_resampled,1,1,1,1,2,26
SC08,SC08-0508-0117_resampled,0,1,1,2,2,27
SC08,SC08-0508-0117_resampled,1,1,1,1,2,28
SC08,SC08-0508-0117_resampled,1,1,1,1,1,29
SC08,SC08-0508-0117_resampled,1,1,1,1,1,30
SC08,SC08-0508-0117_resampled,1,1,1,1,1,31
SC08,SC08-0508-0117_resampled,0,1,1,2,2,32
SC08,SC08-0508-0117_resampled,1,1,1,1,2,33
SC08,SC08-0508-0117_resampled,1,1,1,1,1,34
SC08,SC08-0508-0117_resampled,1,1,1,1,2,35
SC08,SC08-0508-0117_resampled,1,1,1,1,1,36
SC08,SC08-0508-0117_resampled,1,1,1,1,2,37
SC08,SC08-0508-0117_resampled,1,1,1,1,2,38
SC08,SC08-0508-0117_resampled,0,2,2,1,2,39
SC08,SC08-0508-0117_resampled,0,2,2,1,2,40
SC08,SC08-0508-0117_resampled,0,2,2,1,2,41
SC08,SC08-0508-0117_resampled,0,2,2,1,2,42
SC08,SC08-0508-0117_resampled,0,2,2,1,2,43
SC08,SC08-0508-0117_resampled,0,3,1,2,1,44
SC08,SC08-0508-0117_resampled,1,3,1,1,1,45
SC08,SC08-0508-0117_resampled,1,3,1,1,1,46
SC08,SC08-0508-0117_resampled,0,3,2,1,2,47
SC08,SC08-0508-0117_resampled,1,3,2,2,2,48
SC08,SC08-0508-0117_resampled,1,3,1,1,1,49
SC08,SC08-0508-0117_resampled,1,3,1,1,1,50
SC08,SC08-0508-0117_resampled,1,3,1,1,1,51
SC08,SC08-0508-0117_resampled,1,3,2,2,2,52
SC08,SC08-0508-0117_resampled,1,3,2,2,2,53
SC08,SC08-0508-0117_resampled,1,3,1,1,1,54
SC08,SC08-0508-0117_resampled,1,3,1,1,1,55
SC08,SC08-0508-0117_resampled,1,3,2,2,2,56
SC08,SC08-0508-0117_resampled,1,3,1,1,1,57
SC08,SC08-0508-0117_resampled,1,3,1,1,1,58
SC08,SC08-0508-0117_resampled,0,1,1,2,2,59
SC08,SC08-0508-0117_resampled,1,1,1,1,2,60
SC08,SC08-0508-0117_resampled,1,1,1,1,2,61
SC08,SC08-0508-0117_resampled,1,1,1,1,2,62
SC08,SC08-0508-0117_resampled,0,1,1,2,2,63
SC08,SC08-0508-0117_resampled,0,1,1,2,2,64
SC08,SC08-0508-0117_resampled,1,1,1,1,2,65
SC08,SC08-0508-0117_resampled,0,1,1,2,1,66
SC08,SC08-0508-0117_resampled,1,1,1,1,1,67
SC08,SC08-0508-0117_resampled,1,1,1,1,2,68
