Animal,Day,Correct,Strategy,Correct arm,Reward zone,Start zone,Trial
SC03,SC03-0419-0120_resampled,1,3,1,1,1,1
SC03,SC03-0419-0120_resampled,0,3,1,2,1,2
SC03,SC03-0419-0120_resampled,1,3,1,1,1,3
SC03,SC03-0419-0120_resampled,0,3,2,1,2,4
SC03,SC03-0419-0120_resampled,0,3,2,1,2,5
SC03,SC03-0419-0120_resampled,1,3,2,2,2,6
SC03,SC03-0419-0120_resampled,0,3,1,2,1,7
SC03,SC03-0419-0120_resampled,1,3,1,1,1,8
SC03,SC03-0419-0120_resampled,0,3,1,2,1,9
SC03,SC03-0419-0120_resampled,1,3,1,1,1,10
SC03,SC03-0419-0120_resampled,1,3,1,1,1,11
SC03,SC03-0419-0120_resampled,1,3,2,2,2,12
SC03,SC03-0419-0120_resampled,0,3,2,1,2,13
SC03,SC03-0419-0120_resampled,1,3,2,2,2,14
SC03,SC03-0419-0120_resampled,0,3,1,2,1,15
SC03,SC03-0419-0120_resampled,1,3,1,1,1,16
SC03,SC03-0419-0120_resampled,1,3,1,1,1,17
SC03,SC03-0419-0120_resampled,1,3,2,2,2,18
SC03,SC03-0419-0120_resampled,0,3,1,2,1,19
SC03,SC03-0419-0120_resampled,1,3,1,1,1,20
SC03,SC03-0419-0120_resampled,1,3,1,1,1,21
SC03,SC03-0419-0120_resampled,1,3,2,2,2,22
SC03,SC03-0419-0120_resampled,0,3,2,1,2,23
SC03,SC03-0419-0120_resampled,0,3,2,1,2,24
SC03,SC03-0419-0120_resampled,1,3,2,2,2,25
SC03,SC03-0419-0120_resampled,1,3,2,2,2,26
SC03,SC03-0419-0120_resampled,1,3,2,2,2,27
SC03,SC03-0419-0120_resampled,0,3,1,2,1,28
SC03,SC03-0419-0120_resampled,1,3,1,1,1,29
SC03,SC03-0419-0120_resampled,0,3,2,1,2,30
SC03,SC03-0419-0120_resampled,1,3,2,2,2,31
SC03,SC03-0419-0120_resampled,1,3,2,2,2,32
SC03,SC03-0419-0120_resampled,0,3,2,1,2,33
SC03,SC03-0419-0120_resampled,1,3,2,2,2,34
SC03,SC03-0419-0120_resampled,1,3,1,1,1,35
SC03,SC03-0419-0120_resampled,1,3,1,1,1,36
SC03,SC03-0419-0120_resampled,0,3,1,2,1,37
SC03,SC03-0419-0120_resampled,1,3,1,1,1,38
SC03,SC03-0419-0120_resampled,1,3,2,2,2,39
SC03,SC03-0419-0120_resampled,1,3,1,1,1,40
SC03,SC03-0419-0120_resampled,1,3,2,2,2,41
SC03,SC03-0419-0120_resampled,1,3,1,1,1,42
SC03,SC03-0419-0120_resampled,1,3,2,2,2,43
SC03,SC03-0419-0120_resampled,0,3,2,1,2,44
SC03,SC03-0419-0120_resampled,1,3,2,2,2,45
SC03,SC03-0419-0120_resampled,1,3,2,2,2,46
SC03,SC03-0419-0120_resampled,1,3,1,1,1,47
SC03,SC03-0419-0120_resampled,1,3,1,1,1,48
SC03,SC03-0419-0120_resampled,0,1,1,2,2,49
SC03,SC03-0419-0120_resampled,1,1,1,1,2,50
SC03,SC03-0419-0120_resampled,1,1,1,1,1,51
SC03,SC03-0419-0120_resampled,0,1,1,2,2,52
SC03,SC03-0419-0120_resampled,0,1,1,2,2,53
SC03,SC03-0419-0120_resampled,1,1,1,1,2,54
SC03,SC03-0419-0120_resampled,0,1,1,2,2,55
SC03,SC03-0419-0120_resampled,1,1,1,1,2,56
SC03,SC03-0419-0120_resampled,0,1,1,2,2,57
SC03,SC03-0419-0120_resampled,1,1,1,1,2,58
SC03,SC03-0419-0120_resampled,1,1,1,1,1,59
SC03,SC03-0419-0120_resampled,1,1,1,1,2,60
SC03,SC03-0419-0120_resampled,1,1,1,1,1,61
SC03,SC03-0419-0120_resampled,0,1,1,2,2,62
SC03,SC03-0419-0120_resampled,1,1,1,1,2,63
SC03,SC03-0419-0120_resampled,0,1,1,2,2,64
SC03,SC03-0419-0120_resampled,1,1,1,1,2,65
SC03,SC03-0419-0120_resampled,0,1,1,2,2,66
SC03,SC03-0419-0120_resampled,1,1,1,1,2,67
SC03,SC03-0419-0120_resampled,1,1,1,1,1,68
SC03,SC03-0419-0120_resampled,1,1,1,1,2,69
SC03,SC03-0419-0120_resampled,1,1,1,1,1,70
SC03,SC03-0419-0120_resampled,0,1,1,2,2,71
SC03,SC03-0419-0120_resampled,1,1,1,1,2,72
SC03,SC03-0419-0120_resampled,1,1,1,1,2,73
SC03,SC03-0419-0120_resampled,1,1,1,1,1,74
SC03,SC03-0419-0120_resampled,1,1,1,1,1,75
SC03,SC03-0419-0120_resampled,1,1,1,1,1,76
SC03,SC03-0419-0120_resampled,1,1,1,1,2,77
SC03,SC03-0419-0120_resampled,1,1,1,1,1,78
SC03,SC03-0419-0120_resampled,1,1,1,1,1,79
SC03,SC03-0419-0120_resampled,0,2,2,1,2,80
SC03,SC03-0419-0120_resampled,1,2,2,2,2,81
SC03,SC03-0419-0120_resampled,0,2,2,1,1,82
SC03,SC03-0419-0120_resampled,0,2,2,1,1,83
SC03,SC03-0419-0120_resampled,1,2,2,2,1,84
SC03,SC03-0419-0120_resampled,0,2,2,1,1,85
SC03,SC03-0419-0120_resampled,0,2,2,1,1,86
SC03,SC03-0419-0120_resampled,0,2,2,1,1,87
SC03,SC03-0419-0120_resampled,1,2,2,2,1,88
SC03,SC03-0419-0120_resampled,1,2,2,2,1,89
SC03,SC03-0419-0120_resampled,0,2,2,1,2,90
SC03,SC03-0419-0120_resampled,0,2,2,1,2,91
SC03,SC03-0419-0120_resampled,1,2,2,2,2,92
SC03,SC03-0419-0120_resampled,0,2,2,1,1,93
SC03,SC03-0419-0120_resampled,1,2,2,2,1,94
SC03,SC03-0419-0120_resampled,1,2,2,2,1,95
SC03,SC03-0419-0120_resampled,1,2,2,2,1,96
SC03,SC03-0419-0120_resampled,0,2,2,1,2,97
SC03,SC03-0419-0120_resampled,1,2,2,2,2,98
SC03,SC03-0419-0120_resampled,1,2,2,2,1,99
SC03,SC03-0419-0120_resampled,1,2,2,2,1,100
SC03,SC03-0419-0120_resampled,1,2,2,2,1,101
