Animal,Day,Correct,Strategy,Correct arm,Reward zone,Start zone,Trial
SC12,SC12-1105-0116_resampled,0,3,2,1,2,1
SC12,SC12-1105-0116_resampled,1,3,2,2,2,2
SC12,SC12-1105-0116_resampled,0,3,1,2,1,3
SC12,SC12-1105-0116_resampled,0,3,1,2,1,4
SC12,SC12-1105-0116_resampled,1,3,1,1,1,5
SC12,SC12-1105-0116_resampled,0,3,2,1,2,6
SC12,SC12-1105-0116_resampled,0,3,2,1,2,7
SC12,SC12-1105-0116_resampled,0,3,2,1,2,8
SC12,SC12-1105-0116_resampled,0,3,2,1,2,9
SC12,SC12-1105-0116_resampled,1,3,2,2,2,10
SC12,SC12-1105-0116_resampled,0,3,2,1,2,11
SC12,SC12-1105-0116_resampled,0,3,2,1,2,12
SC12,SC12-1105-0116_resampled,0,3,2,1,2,13
SC12,SC12-1105-0116_resampled,0,3,2,1,2,14
SC12,SC12-1105-0116_resampled,1,3,2,2,2,15
SC12,SC12-1105-0116_resampled,1,3,2,2,2,16
SC12,SC12-1105-0116_resampled,0,3,1,2,1,17
SC12,SC12-1105-0116_resampled,1,3,1,1,1,18
SC12,SC12-1105-0116_resampled,0,3,2,1,2,19
SC12,SC12-1105-0116_resampled,1,3,2,2,2,20
SC12,SC12-1105-0116_resampled,0,3,2,1,2,21
SC12,SC12-1105-0116_resampled,1,3,2,2,2,22
SC12,SC12-1105-0116_resampled,1,3,1,1,1,23
SC12,SC12-1105-0116_resampled,0,3,2,1,2,24
SC12,SC12-1105-0116_resampled,0,3,2,1,2,25
SC12,SC12-1105-0116_resampled,0,3,2,1,2,26
SC12,SC12-1105-0116_resampled,1,3,2,2,2,27
SC12,SC12-1105-0116_resampled,0,3,2,1,2,28
SC12,SC12-1105-0116_resampled,0,3,2,1,2,29
SC12,SC12-1105-0116_resampled,0,3,2,1,2,30
SC12,SC12-1105-0116_resampled,1,3,2,2,2,31
SC12,SC12-1105-0116_resampled,1,3,1,1,1,32
SC12,SC12-1105-0116_resampled,0,3,1,2,1,33
SC12,SC12-1105-0116_resampled,0,3,1,2,1,34
SC12,SC12-1105-0116_resampled,1,3,1,1,1,35
SC12,SC12-1105-0116_resampled,1,3,1,1,1,36
SC12,SC12-1105-0116_resampled,1,3,2,2,2,37
SC12,SC12-1105-0116_resampled,1,3,1,1,1,38
SC12,SC12-1105-0116_resampled,1,3,2,2,2,39
SC12,SC12-1105-0116_resampled,1,3,1,1,1,40
SC12,SC12-1105-0116_resampled,0,3,2,1,2,41
SC12,SC12-1105-0116_resampled,1,3,2,2,2,42
SC12,SC12-1105-0116_resampled,0,3,2,1,2,43
SC12,SC12-1105-0116_resampled,1,3,2,2,2,44
SC12,SC12-1105-0116_resampled,0,3,2,1,2,45
SC12,SC12-1105-0116_resampled,1,3,2,2,2,46
SC12,SC12-1105-0116_resampled,1,3,1,1,1,47
SC12,SC12-1105-0116_resampled,0,3,2,1,2,48
SC12,SC12-1105-0116_resampled,1,3,2,2,2,49
SC12,SC12-1105-0116_resampled,1,3,1,1,1,50
SC12,SC12-1105-0116_resampled,0,3,1,2,1,51
SC12,SC12-1105-0116_resampled,0,3,1,2,1,52
SC12,SC12-1105-0116_resampled,1,3,1,1,1,53
SC12,SC12-1105-0116_resampled,0,3,2,1,2,54
SC12,SC12-1105-0116_resampled,0,3,2,1,2,55
SC12,SC12-1105-0116_resampled,1,3,2,2,2,56
SC12,SC12-1105-0116_resampled,0,3,2,1,2,57
SC12,SC12-1105-0116_resampled,1,3,2,2,2,58
SC12,SC12-1105-0116_resampled,1,3,1,1,1,59
SC12,SC12-1105-0116_resampled,0,3,1,2,1,60
SC12,SC12-1105-0116_resampled,0,3,1,2,1,61
SC12,SC12-1105-0116_resampled,1,3,1,1,1,62
SC12,SC12-1105-0116_resampled,0,3,1,2,1,63
SC12,SC12-1105-0116_resampled,1,3,1,1,1,64
SC12,SC12-1105-0116_resampled,1,3,2,2,2,65
SC12,SC12-1105-0116_resampled,0,3,2,1,2,66
SC12,SC12-1105-0116_resampled,0,3,2,1,2,67
SC12,SC12-1105-0116_resampled,0,3,2,1,2,68
SC12,SC12-1105-0116_resampled,0,3,2,1,2,69
SC12,SC12-1105-0116_resampled,1,3,2,2,2,70
SC12,SC12-1105-0116_resampled,1,3,1,1,1,71
SC12,SC12-1105-0116_resampled,1,3,2,2,2,72
SC12,SC12-1105-0116_resampled,0,3,2,1,2,73
SC12,SC12-1105-0116_resampled,1,3,2,2,2,74
