Correct,Strategy,Start zone,Trial,taskswitch,taskname_blocknumber,w_taskswitch,
1,2,1,243,0,,,
0,2,2,244,0,,,
1,2,2,245,0,,,
0,2,2,246,0,,,
0,2,2,247,0,,,
1,2,2,248,0,,,
1,2,1,249,0,,,
0,2,1,250,0,,,
1,2,1,251,0,,,
0,2,2,252,0,,,
1,2,2,253,0,,,
1,2,2,254,0,,,
0,2,2,255,0,,,
1,2,2,256,0,,,
1,2,2,257,0,,,
0,2,1,258,0,,,
1,2,1,259,0,,,
1,2,1,260,0,,,
0,2,1,261,0,,,
1,2,1,262,0,,,
1,2,2,263,0,,,
0,2,1,264,0,,,
1,2,1,265,0,,,
1,2,2,266,0,,,
0,2,2,267,0,,,
1,2,2,268,0,,,
1,2,2,269,0,,,
0,2,2,270,0,,,
1,2,2,271,0,,,
1,2,1,272,0,,,
1,2,2,273,0,,,
1,2,1,274,0,,,
0,2,1,275,0,,,
0,2,1,276,0,,,
1,2,1,277,0,,,
0,2,1,278,0,,,
1,1,1,279,1,,21,allo_block5
1,1,1,280,0,,,
0,1,2,281,0,,,
1,1,2,282,0,,,
0,1,1,283,0,,,
1,1,1,284,0,,,
0,1,1,285,0,,,
1,1,1,286,0,,,
1,1,1,287,0,,,
0,1,2,288,0,,,
1,1,2,289,0,,,
0,1,2,290,0,,,
1,1,2,291,0,,,
1,1,1,292,0,,,
1,1,1,293,0,,,
0,1,2,294,0,,,
1,1,2,295,0,,,
1,1,1,296,0,,,
1,1,1,297,0,,,
0,1,2,298,0,,,
1,1,2,299,0,,,
1,1,2,300,0,,,
0,1,2,301,0,,,
1,1,2,302,0,,,
1,1,2,303,0,,,
1,1,1,304,0,,,
1,1,2,305,0,,,
1,1,2,306,0,,,
0,1,2,307,0,,,
1,1,2,308,0,,,
1,1,1,309,0,,,
1,1,1,310,0,,,
1,1,1,311,0,,,
1,1,2,312,0,,,
1,1,1,313,0,,,
0,2,2,314,1,,12,allo_block6
0,2,2,315,0,,,
1,2,2,316,0,,,
0,2,1,317,0,,,
0,2,1,318,0,,,
0,2,1,319,0,,,
1,2,1,320,0,,,
0,2,2,321,0,,,
1,2,2,322,0,,,
0,2,2,323,0,,,
1,2,2,324,0,,,
0,2,2,325,0,,,
1,2,2,326,0,,,
1,2,1,327,0,,,
0,2,1,328,0,,,
1,2,1,329,0,,,
0,2,2,330,0,,,
1,2,2,331,0,,,
0,2,1,332,0,,,
1,2,1,333,0,,,
1,2,2,334,0,,,
0,2,2,335,0,,,
1,2,2,336,0,,,
1,2,2,337,0,,,
1,2,1,338,0,,,
1,2,2,339,0,,,
1,2,1,340,0,,,
0,2,2,341,0,,,
1,2,2,342,0,,,
0,2,2,343,0,,,
1,2,2,344,0,,,
1,2,2,345,0,,,
0,2,1,346,0,,,
1,2,1,347,0,,,
1,2,2,348,0,,,
0,2,1,349,0,,,
1,2,1,350,0,,,
1,2,2,351,0,,,
1,2,2,352,0,,,
0,2,1,353,0,,,
1,2,1,354,0,,,
1,2,1,355,0,,,
1,2,1,356,0,,,
0,2,2,357,0,,,
1,2,2,358,0,,,
1,2,1,359,0,,,
0,2,1,360,0,,,
1,2,1,361,0,,,
1,2,2,362,0,,,
1,2,1,363,0,,,
0,2,1,364,0,,,
1,2,1,365,0,,,
1,2,1,366,0,,,
1,2,2,367,0,,,
1,2,1,368,0,,,
1,2,1,369,0,,,
0,2,1,370,0,,,
1,2,1,371,0,,,
1,2,2,372,0,,,
1,2,1,373,0,,,
0,2,1,374,0,,,
1,2,1,375,0,,,
0,2,1,376,0,,,
1,2,1,377,0,,,
1,2,2,378,0,,,
1,2,2,379,0,,,
1,2,2,380,0,,,
1,2,2,381,0,,,
1,2,1,382,0,,,
1,2,2,383,0,,,
1,2,2,384,0,,,
1,2,1,385,0,,,
1,3,2,387,1,ego_block3,,
1,3,1,388,0,,,
1,3,2,389,0,,,
0,3,1,390,0,,,
0,3,1,391,0,,,
1,3,1,392,0,,,
1,3,2,393,0,,,
0,3,2,394,0,,,
1,3,2,395,0,,,
0,3,1,396,0,,,
0,3,1,397,0,,,
0,3,1,398,0,,,
1,3,1,399,0,,,
1,3,1,400,0,,,
1,3,1,401,0,,,
1,3,2,402,0,,,
1,3,1,403,0,,,
1,3,2,404,0,,,
1,3,1,405,0,,,
1,3,1,406,0,,,
1,3,2,407,0,,,
1,3,2,408,0,,,
0,3,2,409,0,,,
1,3,2,410,0,,,
1,3,2,411,0,,,
1,3,1,412,0,,,
1,1,1,414,1,allo_block3,,
1,1,1,415,0,,,
0,1,2,416,0,,,
1,1,2,417,0,,,
1,1,1,418,0,,,
0,1,1,419,0,,,
1,1,1,420,0,,,
1,1,1,421,0,,,
1,1,2,422,0,,,
0,1,2,423,0,,,
1,1,2,424,0,,,
1,1,1,425,0,,,
1,1,1,426,0,,,
0,1,2,427,0,,,
1,1,2,428,0,,,
1,1,1,429,0,,,
1,1,1,430,0,,,
0,1,2,431,0,,,
1,1,2,432,0,,,
1,1,2,433,0,,,
0,1,2,434,0,,,
1,1,2,435,0,,,
1,1,2,436,0,,,
1,1,1,437,0,,,
1,1,2,438,0,,,
1,1,2,439,0,,,
0,1,2,440,0,,,
1,1,2,441,0,,,
1,1,1,442,0,,,
1,1,1,443,0,,,
1,1,1,444,0,,,
1,1,2,445,0,,,
1,1,1,446,0,,,
0,2,2,447,1,,12,allo_block8
1,2,2,448,0,,,
0,2,1,449,0,,,
0,2,1,450,0,,,
0,2,1,451,0,,,
0,2,1,452,0,,,
1,2,1,453,0,,,
0,2,2,454,0,,,
1,2,2,455,0,,,
0,2,2,456,0,,,
1,2,2,457,0,,,
0,2,2,458,0,,,
1,2,2,459,0,,,
0,2,1,460,0,,,
1,2,1,461,0,,,
1,2,1,462,0,,,
0,2,2,463,0,,,
1,2,2,464,0,,,
0,2,1,465,0,,,
