Correct,Strategy,Start zone,Trial,taskswitch,taskname_blocknumber
0,4,1,1,0,ego_block1
1,4,1,2,0,
0,4,1,3,0,
1,4,1,4,0,
0,4,2,5,0,
1,4,2,6,0,
0,4,1,7,0,
0,4,1,8,0,
0,4,1,9,0,
1,4,1,10,0,
0,4,1,11,0,
1,4,1,12,0,
1,4,1,13,0,
0,4,2,14,0,
0,4,2,15,0,
0,4,2,16,0,
0,4,2,17,0,
1,4,2,18,0,
0,4,2,19,0,
0,4,2,20,0,
1,4,2,21,0,
1,4,1,22,0,
0,4,1,23,0,
1,4,1,24,0,
0,4,2,25,0,
1,4,2,26,0,
1,4,1,27,0,
0,4,1,28,0,
1,4,1,29,0,
1,4,2,30,0,
0,4,2,31,0,
1,4,2,32,0,
1,4,2,33,0,
1,4,2,34,0,
1,4,1,35,0,
0,4,2,36,0,
1,4,2,37,0,
1,4,2,38,0,
1,4,2,39,0,
1,4,1,40,0,
1,4,1,41,0,
0,4,1,42,0,
1,4,1,43,0,
0,4,2,44,0,
1,4,2,45,0,
1,4,1,46,0,
0,4,2,47,0,
0,4,2,48,0,
1,4,2,49,0,
1,4,1,50,0,
1,4,2,51,0,
1,4,2,52,0,
1,4,2,53,0,
0,4,1,54,0,
1,4,1,55,0,
1,4,1,56,0,
1,4,2,57,0,
1,4,1,58,0,
1,4,2,59,0,
1,4,2,60,0,
1,4,2,61,0,
1,4,1,62,0,
1,1,2,63,1,allo_block1
1,1,1,64,0,
0,1,2,65,0,
1,1,2,66,0,
1,1,2,67,0,
1,1,2,68,0,
1,1,1,69,0,
1,1,2,70,0,
1,1,1,71,0,
1,1,2,72,0,
1,1,2,73,0,
1,1,1,74,0,
0,1,1,75,0,
0,1,1,76,0,
1,1,1,77,0,
1,1,1,78,0,
1,1,2,79,0,
0,1,1,80,0,
0,1,1,81,0,
0,1,1,82,0,
1,1,1,83,0,
1,1,1,84,0,
0,1,2,85,0,
1,1,2,86,0,
0,1,2,87,0,
1,1,2,88,0,
1,1,1,89,0,
1,1,1,90,0,
1,1,2,91,0,
1,1,1,92,0,
1,1,1,93,0,
1,1,2,94,0,
1,1,2,95,0,
1,1,2,96,0,
1,1,2,97,0,
0,2,1,98,1,allo_block2
0,2,1,99,0,
1,2,1,100,0,
0,2,2,101,0,
0,2,2,102,0,
1,2,2,103,0,
0,2,2,104,0,
0,2,2,105,0,
1,2,2,106,0,
0,2,2,107,0,
0,2,2,108,0,
1,2,2,109,0,
0,2,1,110,0,
1,2,1,111,0,
1,2,1,112,0,
0,2,1,113,0,
1,2,1,114,0,
1,2,2,115,0,
0,2,1,116,0,
1,2,1,117,0,
1,2,2,118,0,
1,2,1,119,0,
0,2,2,120,0,
1,2,2,121,0,
1,2,2,122,0,
1,2,2,123,0,
1,2,1,124,0,
1,2,1,125,0,
1,2,2,126,0,
1,2,1,127,0,
1,2,2,128,0,
1,3,2,129,1,ego_block2
1,3,2,130,0,
0,3,1,131,0,
0,3,1,132,0,
0,3,1,133,0,
0,3,1,134,0,
0,3,1,135,0,
0,3,1,136,0,
0,3,1,137,0,
1,3,1,138,0,
0,3,2,139,0,
1,3,2,140,0,
1,3,1,141,0,
