Correct,Strategy,Start zone,Trial,taskswitch,taskname_blocknumber
1,1,1,1,0,allo_block1
1,1,1,2,0,
1,1,2,3,0,
1,1,1,4,0,
1,1,1,5,0,
1,1,1,6,0,
1,1,2,7,0,
1,1,2,8,0,
1,1,1,9,0,
1,1,1,10,0,
1,1,2,11,0,
1,1,1,12,0,
1,1,1,13,0,
1,1,2,14,0,
1,1,2,15,0,
0,2,2,16,1,allo_block2
0,2,2,17,0,
0,2,2,18,0,
1,2,2,19,0,
1,2,2,20,0,
0,2,1,21,0,
0,2,1,22,0,
0,2,1,23,0,
0,2,1,24,0,
1,2,1,25,0,
1,2,2,26,0,
1,2,2,27,0,
1,2,2,28,0,
1,2,1,29,0,
1,2,1,30,0,
1,2,1,31,0,
1,2,2,32,0,
1,2,1,33,0,
1,2,2,34,0,
1,2,1,35,0,
1,2,2,36,0,
1,2,2,37,0,
1,3,2,38,1,ego_block1
0,3,1,39,0,
0,3,1,40,0,
0,3,1,41,0,
0,3,1,42,0,
0,3,1,43,0,
0,3,1,44,0,
0,3,1,45,0,
1,3,1,46,0,
1,3,1,47,0,
1,3,2,48,0,
0,3,1,49,0,
1,3,1,50,0,
1,3,2,51,0,
1,3,2,52,0,
1,3,2,53,0,
1,3,1,54,0,
1,3,2,55,0,
1,3,1,56,0,
1,3,2,57,0,
1,3,2,58,0,
1,3,2,59,0,
0,4,1,60,1,ego_block2
1,4,1,61,0,
0,4,2,62,0,
1,4,2,63,0,
0,4,1,64,0,
1,4,1,65,0,
0,4,2,66,0,
0,4,2,67,0,
1,4,2,68,0,
0,4,2,69,0,
1,4,2,70,0,
0,4,1,71,0,
1,4,1,72,0,
0,4,1,73,0,
1,4,1,74,0,
1,4,1,75,0,
1,4,2,76,0,
0,4,1,77,0,
1,4,1,78,0,
1,4,1,79,0,
0,4,2,80,0,
0,4,2,81,0,
1,4,2,82,0,
1,4,1,83,0,
0,4,1,84,0,
1,4,1,85,0,
1,4,1,86,0,
0,4,2,87,0,
1,4,2,88,0,
1,4,1,89,0,
0,4,1,90,0,
1,4,1,91,0,
1,4,1,92,0,
1,4,1,93,0,
1,4,1,94,0,
0,4,1,95,0,
1,4,1,96,0,
1,1,1,97,1,allo_block3
1,1,1,98,0,
1,1,2,99,0,
1,1,1,100,0,
1,1,1,101,0,
1,1,1,102,0,
1,1,2,103,0,
1,1,2,104,0,
1,1,1,105,0,
1,1,1,106,0,
1,1,2,107,0,
1,1,1,108,0,
1,1,1,109,0,
1,1,2,110,0,
1,1,2,111,0,
0,2,2,112,1,allo_block4
0,2,2,113,0,
1,2,2,114,0,
0,2,2,115,0,
1,2,2,116,0,
0,2,1,117,0,
1,2,1,118,0,
1,2,2,119,0,
1,2,2,120,0,
1,2,2,121,0,
1,2,1,122,0,
1,2,1,123,0,
1,2,1,124,0,
1,2,2,125,0,
1,2,1,126,0,
1,2,2,127,0,
1,2,1,128,0,
1,3,2,129,1,ego_block3
1,3,2,130,0,
1,3,2,131,0,
0,3,1,132,0,
0,3,1,133,0,
0,3,1,134,0,
1,3,1,135,0,
1,3,1,136,0,
1,3,2,137,0,
1,3,1,138,0,
1,3,2,139,0,
1,3,2,140,0,
1,3,2,141,0,
1,3,1,142,0,
1,3,2,143,0,
1,3,1,144,0,
1,3,2,145,0,
1,3,2,146,0,
1,3,2,147,0,
0,4,1,148,1,ego_block4
1,4,1,149,0,
0,4,2,150,0,
0,4,2,151,0,
1,4,2,152,0,
0,4,1,153,0,
1,4,1,154,0,
0,4,2,155,0,
1,4,2,156,0,
0,4,2,157,0,
1,4,2,158,0,
0,4,1,159,0,
1,1,1,160,1,allo_block5
1,1,1,161,0,
1,1,2,162,0,
1,1,1,163,0,
1,1,1,164,0,
1,1,1,165,0,
1,1,2,166,0,
1,1,2,167,0,
1,1,1,168,0,
1,1,1,169,0,
1,1,2,170,0,
1,1,1,171,0,
1,1,1,172,0,
1,1,2,173,0,
1,1,2,174,0,
1,1,2,175,0,
1,1,2,176,0,
1,1,1,177,0,
1,1,2,178,0,
1,1,2,179,0,
1,1,2,180,0,
1,1,1,181,0,
1,1,1,182,0,
1,1,1,183,0,
0,2,2,184,1,allo_block6
0,2,2,185,0,
0,2,2,186,0,
0,2,2,187,0,
1,2,2,188,0,
0,2,1,189,0,
1,2,1,190,0,
1,2,2,191,0,
1,2,1,192,0,
0,2,2,193,0,
1,2,2,194,0,
1,2,2,195,0,
1,2,2,196,0,
1,2,1,197,0,
1,2,1,198,0,
1,2,2,199,0,
1,2,1,200,0,
1,2,2,201,0,
1,2,2,202,0,
1,2,2,203,0,
1,2,1,204,0,
1,2,2,205,0,
1,2,1,206,0,
1,2,2,207,0,
1,2,2,208,0,
1,2,2,209,0,
1,2,1,210,0,
1,2,2,211,0,
0,3,1,212,1,ego_block5
0,3,1,213,0,
1,3,1,214,0,
1,3,2,215,0,
0,3,2,216,0,
1,3,2,217,0,
0,3,1,218,0,
1,3,1,219,0,
1,3,1,220,0,
1,3,1,221,0,
1,3,2,222,0,
1,3,1,223,0,
1,3,1,224,0,
1,3,2,225,0,
1,3,1,226,0,
1,3,1,227,0,
1,3,1,228,0,
1,3,2,229,0,
1,3,1,230,0,
1,3,1,231,0,
