Correct,Strategy,Start zone,Trial,taskswitch,taskname_blocknumber,w_taskswitch,
0,3,1,1,0,ego_block1,,
1,3,1,2,0,,,
1,3,1,3,0,,,
0,3,2,4,0,,,
1,3,2,5,0,,,
1,3,1,6,0,,,
1,3,1,7,0,,,
1,3,1,8,0,,,
1,3,2,9,0,,,
1,3,2,10,0,,,
1,3,1,11,0,,,
1,3,1,12,0,,,
1,3,2,13,0,,,
1,3,1,14,0,,,
1,3,1,15,0,,,
0,1,2,16,1,allo_block1,,
1,1,2,17,0,,,
1,1,2,18,0,,,
1,1,2,19,0,,,
0,1,2,20,0,,,
0,1,2,21,0,,,
1,1,2,22,0,,,
0,1,1,23,0,,,
1,1,1,24,0,,,
1,1,2,25,0,,,
1,1,2,26,0,,,
0,1,2,27,0,,,
1,1,2,28,0,,,
1,1,1,29,0,,,
1,1,1,30,0,,,
1,1,1,31,0,,,
0,1,2,32,0,,,
1,1,2,33,0,,,
1,1,1,34,0,,,
1,1,2,35,0,,,
1,1,1,36,0,,,
1,1,2,37,0,,,
1,1,2,38,0,,,
0,2,2,39,1,,12,allo_block2
0,2,2,40,0,,,
0,2,2,41,0,,,
0,2,2,42,0,,,
0,2,2,43,0,,,
0,3,1,44,1,ego_block2,,
1,3,1,45,0,,,
1,3,1,46,0,,,
0,3,2,47,0,,,
1,3,2,48,0,,,
1,3,1,49,0,,,
1,3,1,50,0,,,
1,3,1,51,0,,,
1,3,2,52,0,,,
1,3,2,53,0,,,
1,3,1,54,0,,,
1,3,1,55,0,,,
1,3,2,56,0,,,
1,3,1,57,0,,,
1,3,1,58,0,,,
0,1,2,59,1,allo_block2,,
1,1,2,60,0,,,
1,1,2,61,0,,,
1,1,2,62,0,,,
0,1,2,63,0,,,
0,1,2,64,0,,,
1,1,2,65,0,,,
0,1,1,66,0,,,
1,1,1,67,0,,,
1,1,2,68,0,,,
1,1,2,69,0,,,
0,1,2,70,0,,,
1,1,2,71,0,,,
1,1,1,72,0,,,
1,1,1,73,0,,,
1,1,1,74,0,,,
0,1,2,75,0,,,
1,1,2,76,0,,,
1,1,1,77,0,,,
1,1,2,78,0,,,
1,1,1,79,0,,,
1,1,2,80,0,,,
1,1,2,81,0,,,
0,2,2,82,1,,12,allo_block4
0,2,2,83,0,,,
0,2,2,84,0,,,
0,2,2,85,0,,,
0,2,2,86,0,,,
0,3,1,87,1,ego_block3,,
1,3,1,88,0,,,
1,3,1,89,0,,,
0,3,2,90,0,,,
1,3,2,91,0,,,
1,3,1,92,0,,,
1,3,1,93,0,,,
1,3,1,94,0,,,
1,3,2,95,0,,,
1,3,2,96,0,,,
1,3,1,97,0,,,
1,3,1,98,0,,,
1,3,2,99,0,,,
1,3,1,100,0,,,
1,3,1,101,0,,,
0,1,2,102,1,allo_block3,,
1,1,2,103,0,,,
1,1,2,104,0,,,
1,1,2,105,0,,,
0,1,2,106,0,,,
0,1,2,107,0,,,
1,1,2,108,0,,,
0,1,1,109,0,,,
1,1,1,110,0,,,
1,1,2,111,0,,,
1,1,2,112,0,,,
0,1,2,113,0,,,
1,1,2,114,0,,,
1,1,1,115,0,,,
1,1,1,116,0,,,
1,1,1,117,0,,,
0,1,2,118,0,,,
1,1,2,119,0,,,
1,1,1,120,0,,,
1,1,2,121,0,,,
1,1,1,122,0,,,
1,1,2,123,0,,,
1,1,2,124,0,,,
0,2,2,125,1,,12,allo_block6
0,2,2,126,0,,,
0,2,2,127,0,,,
0,2,2,128,0,,,
0,2,2,129,0,,,
0,3,1,130,1,ego_block4,,
1,3,1,131,0,,,
1,3,1,132,0,,,
0,3,2,133,0,,,
1,3,2,134,0,,,
1,3,1,135,0,,,
1,3,1,136,0,,,
1,3,1,137,0,,,
1,3,2,138,0,,,
1,3,2,139,0,,,
1,3,1,140,0,,,
1,3,1,141,0,,,
1,3,2,142,0,,,
1,3,1,143,0,,,
1,3,1,144,0,,,
0,1,2,145,1,allo_block4,,
1,1,2,146,0,,,
1,1,2,147,0,,,
1,1,2,148,0,,,
0,1,2,149,0,,,
0,1,2,150,0,,,
1,1,2,151,0,,,
0,1,1,152,0,,,
1,1,1,153,0,,,
1,1,2,154,0,,,
1,1,2,155,0,,,
0,1,2,156,0,,,
1,1,2,157,0,,,
1,1,1,158,0,,,
1,1,1,159,0,,,
1,1,1,160,0,,,
0,1,2,161,0,,,
1,1,2,162,0,,,
1,1,1,163,0,,,
1,1,2,164,0,,,
1,1,1,165,0,,,
1,1,2,166,0,,,
1,1,2,167,0,,,
0,2,2,168,1,,12,allo_block8
0,2,2,169,0,,,
0,2,2,170,0,,,
0,2,2,171,0,,,
0,2,2,172,0,,,
0,3,1,173,1,ego_block5,,
1,3,1,174,0,,,
1,3,1,175,0,,,
0,3,2,176,0,,,
1,3,2,177,0,,,
1,3,1,178,0,,,
1,3,1,179,0,,,
1,3,1,180,0,,,
1,3,2,181,0,,,
1,3,2,182,0,,,
1,3,1,183,0,,,
1,3,1,184,0,,,
1,3,2,185,0,,,
1,3,1,186,0,,,
1,3,1,187,0,,,
0,1,2,188,1,allo_block5,,
1,1,2,189,0,,,
1,1,2,190,0,,,
1,1,2,191,0,,,
0,1,2,192,0,,,
0,1,2,193,0,,,
1,1,2,194,0,,,
0,1,1,195,0,,,
1,1,1,196,0,,,
1,1,2,197,0,,,
1,1,2,198,0,,,
0,1,2,199,0,,,
1,1,2,200,0,,,
1,1,1,201,0,,,
1,1,1,202,0,,,
1,1,1,203,0,,,
0,1,2,204,0,,,
1,1,2,205,0,,,
1,1,1,206,0,,,
1,1,2,207,0,,,
1,1,1,208,0,,,
1,1,2,209,0,,,
1,1,2,210,0,,,
0,2,2,211,1,,12,allo_block10
0,2,2,212,0,,,
0,2,2,213,0,,,
0,2,2,214,0,,,
0,2,2,215,0,,,
0,3,1,216,1,ego_block6,,
1,3,1,217,0,,,
1,3,1,218,0,,,
0,3,2,219,0,,,
1,3,2,220,0,,,
1,3,1,221,0,,,
1,3,1,222,0,,,
1,3,1,223,0,,,
1,3,2,224,0,,,
1,3,2,225,0,,,
1,3,1,226,0,,,
1,3,1,227,0,,,
1,3,2,228,0,,,
1,3,1,229,0,,,
1,3,1,230,0,,,
0,1,2,231,1,allo_block6,,
1,1,2,232,0,,,
1,1,2,233,0,,,
1,1,2,234,0,,,
0,1,2,235,0,,,
0,1,2,236,0,,,
1,1,2,237,0,,,
0,1,1,238,0,,,
1,1,1,239,0,,,
1,1,2,240,0,,,
1,1,2,241,0,,,
0,1,2,242,0,,,
1,1,2,243,0,,,
1,1,1,244,0,,,
1,1,1,245,0,,,
1,1,1,246,0,,,
0,1,2,247,0,,,
1,1,2,248,0,,,
1,1,1,249,0,,,
1,1,2,250,0,,,
1,1,1,251,0,,,
1,1,2,252,0,,,
1,1,2,253,0,,,
0,2,2,254,1,,12,allo_block12
0,2,2,255,0,,,
0,2,2,256,0,,,
0,2,2,257,0,,,
0,2,2,258,0,,,
0,4,1,259,1,ego_block7,,
0,4,1,260,0,,,
1,4,1,261,0,,,
0,4,1,262,0,,,
0,4,1,263,0,,,
1,4,1,264,0,,,
1,4,2,265,0,,,
0,4,1,266,0,,,
0,4,1,267,0,,,
1,4,1,268,0,,,
0,4,1,269,0,,,
1,4,1,270,0,,,
0,4,1,271,0,,,
0,4,1,272,0,,,
0,4,1,273,0,,,
1,4,1,274,0,,,
0,4,2,275,0,,,
1,4,2,276,0,,,
0,4,2,277,0,,,
1,4,2,278,0,,,
0,4,1,279,0,,,
1,4,1,280,0,,,
0,4,1,281,0,,,
1,4,1,282,0,,,
0,4,2,283,0,,,
1,4,2,284,0,,,
0,4,1,285,0,,,
1,4,1,286,0,,,
0,4,1,287,0,,,
0,4,1,288,0,,,
1,4,1,289,0,,,
1,4,2,290,0,,,
0,4,2,291,0,,,
1,4,2,292,0,,,
0,4,2,293,0,,,
1,4,2,294,0,,,
1,4,2,295,0,,,
0,4,1,296,0,,,
1,4,1,297,0,,,
1,4,2,298,0,,,
1,4,2,299,0,,,
1,4,2,300,0,,,
0,4,1,301,0,,,
0,4,1,302,0,,,
0,4,1,303,0,,,
1,4,1,304,0,,,
1,4,1,305,0,,,
0,4,1,306,0,,,
1,4,1,307,0,,,
1,4,2,308,0,,,
0,4,1,309,0,,,
1,4,1,310,0,,,
1,4,2,311,0,,,
0,4,1,312,0,,,
1,4,1,313,0,,,
1,4,2,314,0,,,
0,4,2,315,0,,,
1,4,2,316,0,,,
1,4,2,317,0,,,
0,4,1,318,0,,,
1,4,1,319,0,,,
0,4,1,320,0,,,
1,4,1,321,0,,,
1,4,2,322,0,,,
0,4,1,323,0,,,
0,4,1,324,0,,,
1,4,1,325,0,,,
1,4,2,326,0,,,
1,4,2,327,0,,,
1,4,2,328,0,,,
0,4,1,329,0,,,
1,4,1,330,0,,,
1,4,2,331,0,,,
0,4,1,332,0,,,
1,4,1,333,0,,,
1,4,2,334,0,,,
1,4,2,335,0,,,
0,4,2,336,0,,,
1,4,2,337,0,,,
1,4,1,338,0,,,
1,4,2,339,0,,,
1,4,1,340,0,,,
1,4,2,341,0,,,
1,4,2,342,0,,,
0,4,1,343,0,,,
1,4,1,344,0,,,
0,4,1,345,0,,,
0,4,1,346,0,,,
