Correct,Strategy,Start zone,Trial,taskswitch,taskname_blocknumber,w_taskswitch,
0,3,1,1,0,ego_block1,,
0,3,1,2,0,,,
0,3,1,3,0,,,
0,3,1,4,0,,,
0,3,1,5,0,,,
0,3,1,6,0,,,
0,3,1,7,0,,,
0,3,1,8,0,,,
0,3,1,9,0,,,
1,3,1,10,0,,,
0,3,1,11,0,,,
1,3,1,12,0,,,
1,3,1,13,0,,,
0,3,2,14,0,,,
1,3,2,15,0,,,
1,3,1,16,0,,,
1,3,1,17,0,,,
0,3,2,18,0,,,
0,3,2,19,0,,,
1,3,2,20,0,,,
1,3,1,21,0,,,
0,3,1,22,0,,,
0,3,1,23,0,,,
1,3,1,24,0,,,
0,3,2,25,0,,,
0,3,2,26,0,,,
1,3,2,27,0,,,
1,3,1,28,0,,,
1,3,1,29,0,,,
0,3,2,30,0,,,
1,3,2,31,0,,,
1,3,1,32,0,,,
0,3,1,33,0,,,
0,3,1,34,0,,,
1,3,1,35,0,,,
1,3,1,36,0,,,
0,3,2,37,0,,,
1,3,2,38,0,,,
1,3,1,39,0,,,
1,3,1,40,0,,,
1,3,1,41,0,,,
0,3,2,42,0,,,
1,3,2,43,0,,,
1,3,1,44,0,,,
1,3,2,45,0,,,
1,3,1,46,0,,,
1,3,2,47,0,,,
1,3,1,48,0,,,
1,3,2,49,0,,,
1,1,1,50,1,allo_block1,,
0,1,2,51,0,,,
0,1,2,52,0,,,
1,1,2,53,0,,,
1,1,1,54,0,,,
1,1,1,55,0,,,
0,1,2,56,0,,,
1,1,2,57,0,,,
0,1,2,58,0,,,
1,1,2,59,0,,,
0,1,2,60,0,,,
0,1,2,61,0,,,
1,1,2,62,0,,,
1,1,1,63,0,,,
1,1,2,64,0,,,
1,1,1,65,0,,,
1,1,1,66,0,,,
1,1,1,67,0,,,
1,1,2,68,0,,,
1,1,1,69,0,,,
0,1,2,70,0,,,
1,1,2,71,0,,,
1,1,1,72,0,,,
1,1,2,73,0,,,
1,1,1,74,0,,,
