Correct,Strategy,Start zone,Trial,taskswitch,taskname_blocknumber
0,1,2,284,0,
1,1,2,285,0,
1,1,1,286,0,
1,1,2,287,0,
1,1,2,288,0,
1,1,1,289,0,
1,1,1,290,0,
1,1,2,291,0,
0,1,2,292,0,
1,1,2,293,0,
1,1,2,294,0,
0,1,2,295,0,
1,1,2,296,0,
1,1,1,297,0,
1,1,1,298,0,
1,1,1,299,0,
0,3,2,300,1,ego_block4
1,3,2,301,0,
1,3,1,302,0,
0,3,2,303,0,
0,3,2,304,0,
1,3,2,305,0,
1,3,1,306,0,
1,3,2,307,0,
0,3,2,308,0,
1,3,2,309,0,
0,3,1,310,0,
1,3,1,311,0,
1,3,1,312,0,
1,3,2,313,0,
0,3,2,314,0,
1,3,2,315,0,
1,3,1,316,0,
1,3,1,317,0,
1,3,1,318,0,
1,3,2,319,0,
1,3,1,320,0,
1,3,2,321,0,
1,3,2,322,0,
1,3,1,323,0,
1,1,1,324,1,allo_block7
0,1,2,325,0,
0,1,2,326,0,
1,1,2,327,0,
0,1,2,328,0,
1,1,2,329,0,
1,1,1,330,0,
1,1,2,331,0,
0,1,2,332,0,
1,1,2,333,0,
1,1,2,334,0,
1,1,1,335,0,
1,1,1,336,0,
1,1,1,337,0,
1,1,2,338,0,
1,1,1,339,0,
0,1,2,340,0,
0,1,2,341,0,
1,1,2,342,0,
0,1,2,343,0,
1,1,2,344,0,
1,1,2,345,0,
1,1,1,346,0,
1,1,2,347,0,
1,1,1,348,0,
1,1,2,349,0,
1,1,2,350,0,
1,1,2,351,0,
1,1,2,352,0,
1,1,1,353,0,
1,1,1,354,0,
1,1,2,355,0,
0,2,2,356,1,allo_block8
0,2,2,357,0,
1,1,2,358,1,allo_block9
0,1,2,359,0,
1,1,2,360,0,
1,1,1,361,0,
1,1,1,362,0,
0,1,1,363,0,
1,1,1,364,0,
1,1,2,365,0,
1,1,1,366,0,
1,1,2,367,0,
1,1,1,368,0,
1,1,2,369,0,
1,1,1,370,0,
1,1,1,371,0,
0,1,1,372,0,
1,1,1,373,0,
1,1,2,374,0,
0,2,1,375,1,allo_block10
0,2,1,376,0,
0,2,1,377,0,
0,2,1,378,0,
0,2,1,379,0,
1,2,1,380,0,
0,2,1,381,0,
1,2,1,382,0,
0,2,1,383,0,
0,2,1,384,0,
1,2,1,385,0,
0,2,2,386,0,
0,2,2,387,0,
1,2,2,388,0,
0,2,1,389,0,
1,2,1,390,0,
1,2,2,391,0,
1,2,2,392,0,
0,2,2,393,0,
1,2,2,394,0,
0,2,1,395,0,
1,2,1,396,0,
0,2,2,397,0,
1,2,2,398,0,
1,2,1,399,0,
1,2,1,400,0,
1,2,2,401,0,
1,2,2,402,0,
1,2,2,403,0,
1,2,2,404,0,
1,2,2,405,0,
1,2,1,406,0,
1,2,1,407,0,
1,2,1,408,0,
1,3,2,409,1,ego_block5
0,3,1,410,0,
0,3,1,411,0,
0,3,1,412,0,
0,3,1,413,0,
0,3,1,414,0,
1,3,1,415,0,
1,3,2,416,0,
0,3,1,417,0,
0,3,1,418,0,
1,3,1,419,0,
1,3,1,420,0,
0,3,1,421,0,
1,3,1,422,0,
0,3,2,423,0,
1,3,2,424,0,
1,3,1,425,0,
1,3,2,426,0,
1,3,2,427,0,
1,3,2,428,0,
1,3,1,429,0,
1,3,2,430,0,
1,3,1,431,0,
0,3,1,432,0,
1,3,1,433,0,
1,3,2,434,0,
1,3,2,435,0,
1,3,1,436,0,
1,4,2,437,1,ego_block6
0,4,2,438,0,
0,4,2,439,0,
1,4,2,440,0,
0,4,1,441,0,
0,4,1,442,0,
1,4,1,443,0,
1,4,2,444,0,
1,4,1,445,0,
0,4,1,446,0,
0,4,1,447,0,
1,4,1,448,0,
1,4,2,449,0,
0,4,2,450,0,
1,4,2,451,0,
0,4,2,452,0,
1,4,2,453,0,
0,4,2,454,0,
1,4,2,455,0,
1,4,2,456,0,
0,4,1,457,0,
0,4,1,458,0,
1,4,1,459,0,
0,4,1,460,0,
0,4,1,461,0,
0,1,1,462,1,allo_block11
1,1,1,463,0,
1,1,2,464,0,
1,1,2,465,0,
0,1,2,466,0,
0,1,2,467,0,
1,1,2,468,0,
1,1,1,469,0,
1,1,2,470,0,
1,1,2,471,0,
1,1,2,472,0,
1,1,1,473,0,
1,1,2,474,0,
1,1,1,475,0,
1,1,1,476,0,
1,1,1,477,0,
0,3,2,478,1,ego_block7
0,3,2,479,0,
0,3,2,480,0,
0,3,2,481,0,
0,3,2,482,0,
1,3,2,483,0,
1,3,2,484,0,
1,3,2,485,0,
1,3,1,486,0,
1,3,2,487,0,
1,3,2,488,0,
1,3,2,489,0,
1,3,1,490,0,
0,3,2,491,0,
1,3,2,492,0,
1,3,1,493,0,
1,3,2,494,0,
1,3,2,495,0,
1,3,2,496,0,
1,1,2,497,1,allo_block12
1,1,2,498,0,
0,1,2,499,0,
1,1,2,500,0,
1,1,2,501,0,
1,1,1,502,0,
1,1,1,503,0,
1,1,1,504,0,
0,1,2,505,0,
1,1,2,506,0,
1,1,1,507,0,
0,1,2,508,0,
1,1,2,509,0,
0,1,2,510,0,
1,1,2,511,0,
1,1,1,512,0,
1,1,1,513,0,
1,1,1,514,0,
1,1,2,515,0,
1,1,2,516,0,
1,1,2,517,0,
1,1,2,518,0,
1,1,1,519,0,
1,1,1,520,0,
0,2,1,521,1,allo_block13
0,2,1,522,0,
0,2,1,523,0,
0,2,1,524,0,
0,2,1,525,0,
0,3,1,526,1,ego_block8
1,3,1,527,0,
1,3,1,528,0,
1,3,1,529,0,
1,3,2,530,0,
0,3,2,531,0,
1,3,2,532,0,
1,3,1,533,0,
1,3,1,534,0,
1,3,1,535,0,
1,3,2,536,0,
