Correct,Strategy,Start zone,Trial,taskswitch,taskname_blocknumber,w_taskswitch
1,4,1,262,0,,
1,4,2,263,0,,
1,4,2,264,0,,
1,4,1,265,0,,
1,4,2,266,0,,
0,4,2,267,0,,
1,4,2,268,0,,
1,4,2,269,0,,
0,4,2,270,0,,
1,4,2,271,0,,
0,4,1,272,0,,
1,4,1,273,0,,
0,4,1,274,0,,
1,4,1,275,0,,
1,4,2,276,0,,
0,4,2,277,0,,
1,4,2,278,0,,
1,4,2,279,0,,
0,4,1,280,0,,
1,4,1,281,0,,
1,4,2,282,0,,
1,4,2,283,0,,
1,4,2,284,0,,
0,4,1,285,0,,
1,4,1,286,0,,
1,4,2,287,0,,
1,4,1,288,0,,
1,4,2,289,0,,
1,4,2,290,0,,
1,4,2,291,0,,
0,4,1,292,0,,
1,4,1,293,0,,
1,4,2,294,0,,
1,4,1,295,0,,
0,2,1,296,1,allo_block3,
1,2,1,297,0,,
0,2,1,298,0,,
1,2,1,299,0,,
0,2,2,300,0,,
0,2,2,301,0,,
1,2,2,302,0,,
0,2,1,303,0,,
1,2,1,304,0,,
0,2,2,305,0,,
1,2,2,306,0,,
1,2,1,307,0,,
1,2,1,308,0,,
0,2,2,309,0,,
1,2,2,310,0,,
0,2,2,311,0,,
1,2,2,312,0,,
1,2,2,313,0,,
0,2,2,314,0,,
1,2,2,315,0,,
1,2,1,316,0,,
1,2,1,317,0,,
0,2,1,318,0,,
1,2,1,319,0,,
1,2,2,320,0,,
1,2,1,321,0,,
1,2,2,322,0,,
1,2,2,323,0,,
1,2,1,324,0,,
1,2,1,325,0,,
1,2,1,326,0,,
0,4,1,327,1,ego_block4,
1,4,1,328,0,,
0,4,2,329,0,,
1,4,2,330,0,,
1,4,1,331,0,,
1,4,2,332,0,,
0,4,1,333,0,,
1,4,1,334,0,,
0,4,2,335,0,,
0,4,2,336,0,,
0,4,2,337,0,,
1,4,2,338,0,,
0,4,1,339,0,,
1,4,1,340,0,,
0,4,1,341,0,,
1,4,1,342,0,,
0,4,2,343,0,,
1,4,2,344,0,,
0,4,2,345,0,,
1,4,2,346,0,,
0,4,1,347,0,,
1,4,1,348,0,,
1,4,2,349,0,,
0,4,2,350,0,,
0,4,2,351,0,,
0,4,2,352,0,,
1,4,2,353,0,,
0,4,1,354,0,,
1,4,1,355,0,,
1,4,2,356,0,,
1,4,2,357,0,,
0,4,2,358,0,,
1,4,2,359,0,,
1,4,2,360,0,,
1,4,1,361,0,,
0,4,1,362,0,,
0,4,1,363,0,,
0,4,1,364,0,,
1,4,1,365,0,,
0,4,1,366,0,,
0,4,1,367,0,,
1,4,1,368,0,,
0,4,2,369,0,,
1,4,2,370,0,,
1,4,2,371,0,,
0,4,1,372,0,,
1,4,1,373,0,,
1,4,1,374,0,,
1,4,2,375,0,,
1,4,1,376,0,,
1,4,1,377,0,,
0,4,1,378,0,,
1,4,1,379,0,,
1,4,2,380,0,,
0,4,2,381,0,,
1,4,2,382,0,,
1,4,1,383,0,,
0,4,1,384,0,,
0,4,1,385,0,,
1,4,1,386,0,,
0,4,2,387,0,,
1,4,2,388,0,,
1,4,1,389,0,,
0,4,2,390,0,,
1,4,2,391,0,,
1,4,1,392,0,,
1,4,2,393,0,,
1,4,1,394,0,,
0,4,1,395,0,,
1,4,1,396,0,,
1,4,2,397,0,,
0,4,2,398,0,,
1,4,2,399,0,,
1,4,1,400,0,,
1,4,1,401,0,,
0,4,1,402,0,,
1,4,1,403,0,,
1,4,2,404,0,,
0,4,2,405,0,,
0,4,2,406,0,,
1,4,2,407,0,,
0,4,1,408,0,,
0,4,1,409,0,,
1,4,1,410,0,,
1,4,2,411,0,,
1,4,2,412,0,,
1,4,1,413,0,,
1,4,2,414,0,,
0,4,2,415,0,,
1,4,2,416,0,,
1,4,2,417,0,,
0,4,2,418,0,,
1,4,2,419,0,,
0,4,1,420,0,,
1,4,1,421,0,,
0,4,1,422,0,,
1,4,1,423,0,,
1,4,2,424,0,,
0,4,2,425,0,,
1,4,2,426,0,,
1,4,2,427,0,,
0,4,1,428,0,,
1,4,1,429,0,,
1,4,2,430,0,,
1,4,2,431,0,,
1,4,2,432,0,,
0,4,1,433,0,,
1,4,1,434,0,,
1,4,2,435,0,,
1,4,1,436,0,,
1,4,2,437,0,,
1,4,2,438,0,,
1,4,2,439,0,,
0,4,1,440,0,,
1,4,1,441,0,,
1,4,2,442,0,,
1,4,1,443,0,,
0,2,1,444,1,allo_block4,
1,2,1,445,0,,
0,2,1,446,0,,
1,2,1,447,0,,
0,2,2,448,0,,
0,2,2,449,0,,
1,2,2,450,0,,
0,2,1,451,0,,
1,2,1,452,0,,
0,2,2,453,0,,
1,2,2,454,0,,
1,2,1,455,0,,
1,2,1,456,0,,
0,2,2,457,0,,
1,2,2,458,0,,
0,2,2,459,0,,
1,2,2,460,0,,
1,2,2,461,0,,
0,2,2,462,0,,
1,2,2,463,0,,
1,2,1,464,0,,
1,2,1,465,0,,
0,2,1,466,0,,
1,2,1,467,0,,
1,2,2,468,0,,
1,2,1,469,0,,
1,2,2,470,0,,
1,2,2,471,0,,
1,2,1,472,0,,
1,2,1,473,0,,
1,2,1,474,0,,
0,3,1,475,1,ego_block5,
1,3,1,476,0,,
1,3,1,477,0,,
0,3,1,478,0,,
1,3,1,479,0,,
1,3,2,480,0,,
1,3,1,481,0,,
1,3,2,482,0,,
0,3,2,483,0,,
0,3,2,484,0,,
0,3,2,485,0,,
1,3,2,486,0,,
1,3,1,487,0,,
0,3,1,488,0,,
1,3,1,489,0,,
0,3,2,490,0,,
1,3,2,491,0,,
0,3,2,492,0,,
1,3,2,493,0,,
0,3,2,494,0,,
0,3,2,495,0,,
1,3,2,496,0,,
0,3,1,497,0,,
1,3,1,498,0,,
0,3,1,499,0,,
1,3,1,500,0,,
0,3,2,501,0,,
0,3,2,502,0,,
1,3,2,503,0,,
1,3,1,504,0,,
1,3,2,505,0,,
0,3,2,506,0,,
0,3,2,507,0,,
1,3,2,508,0,,
0,3,2,509,0,,
1,3,2,510,0,,
1,3,1,511,0,,
0,3,1,512,0,,
0,3,1,513,0,,
1,3,1,514,0,,
1,3,2,515,0,,
0,3,2,516,0,,
0,3,2,517,0,,
1,3,2,518,0,,
1,3,1,519,0,,
1,3,1,520,0,,
1,3,2,521,0,,
1,3,1,522,0,,
0,3,2,523,0,,
1,3,2,524,0,,
0,3,2,525,0,,
0,3,2,526,0,,
1,3,2,527,0,,
0,3,2,528,0,,
0,3,2,529,0,,
1,3,2,530,0,,
0,3,1,531,0,,
1,3,1,532,0,,
0,3,2,533,0,,
1,3,2,534,0,,
