Correct,Strategy,Start zone,Trial,taskswitch,taskname_blocknumber,w_taskswitch
0,3,2,262,0,,
1,3,2,263,0,,
1,3,2,264,0,,
0,3,1,265,0,,
1,3,1,266,0,,
0,3,2,267,0,,
1,3,2,268,0,,
0,3,2,269,0,,
1,3,2,270,0,,
1,3,1,271,0,,
0,3,2,272,0,,
0,3,2,273,0,,
0,3,2,274,0,,
1,3,2,275,0,,
0,3,2,276,0,,
0,3,2,277,0,,
0,3,2,278,0,,
1,3,2,279,0,,
1,3,1,280,0,,
0,3,1,281,0,,
0,3,1,282,0,,
1,3,1,283,0,,
1,3,1,284,0,,
1,3,2,285,0,,
1,3,1,286,0,,
1,3,2,287,0,,
1,3,1,288,0,,
0,3,2,289,0,,
1,3,2,290,0,,
0,3,2,291,0,,
1,3,2,292,0,,
0,3,2,293,0,,
1,3,2,294,0,,
1,3,1,295,0,,
0,3,2,296,0,,
1,3,2,297,0,,
1,3,1,298,0,,
0,3,1,299,0,,
0,3,1,300,0,,
1,3,1,301,0,,
0,3,2,302,0,,
0,3,2,303,0,,
1,3,2,304,0,,
0,3,2,305,0,,
1,3,2,306,0,,
1,3,1,307,0,,
0,3,1,308,0,,
0,3,1,309,0,,
1,3,1,310,0,,
0,3,1,311,0,,
1,3,1,312,0,,
1,3,2,313,0,,
0,3,2,314,0,,
0,3,2,315,0,,
0,3,2,316,0,,
0,3,2,317,0,,
1,3,2,318,0,,
1,3,1,319,0,,
1,3,2,320,0,,
0,3,2,321,0,,
1,3,2,322,0,,
0,3,2,323,0,,
1,3,2,324,0,,
0,3,1,325,0,,
1,3,1,326,0,,
0,3,2,327,0,,
1,3,2,328,0,,
0,3,2,329,0,,
1,3,2,330,0,,
0,3,1,331,0,,
0,3,1,332,0,,
1,3,1,333,0,,
0,3,1,334,0,,
1,3,1,335,0,,
1,3,1,336,0,,
1,3,2,337,0,,
0,3,1,338,0,,
1,3,1,339,0,,
1,3,1,340,0,,
1,3,2,341,0,,
0,3,2,342,0,,
0,3,2,343,0,,
1,3,2,344,0,,
1,3,1,345,0,,
1,3,2,346,0,,
1,3,1,347,0,,
1,3,1,348,0,,
0,3,1,349,0,,
1,3,1,350,0,,
1,3,2,351,0,,
1,3,1,352,0,,
1,3,1,353,0,,
1,3,1,354,0,,
1,3,2,355,0,,
1,3,2,356,0,,
1,3,1,357,0,,
1,1,2,358,1,allo_block3,
1,1,1,359,0,,
0,1,2,360,0,,
1,1,2,361,0,,
1,1,1,362,0,,
1,1,1,363,0,,
1,1,1,364,0,,
1,1,2,365,0,,
1,1,2,366,0,,
1,1,2,367,0,,
1,1,2,368,0,,
1,1,1,369,0,,
1,1,2,370,0,,
1,1,2,371,0,,
1,1,1,372,0,,
0,3,2,373,1,ego_block4,
1,3,2,374,0,,
0,3,1,375,0,,
0,3,1,376,0,,
1,3,1,377,0,,
0,3,2,378,0,,
0,3,2,379,0,,
0,3,2,380,0,,
0,3,2,381,0,,
1,3,2,382,0,,
0,3,2,383,0,,
0,3,2,384,0,,
0,3,2,385,0,,
0,3,2,386,0,,
1,3,2,387,0,,
1,3,2,388,0,,
0,3,1,389,0,,
1,3,1,390,0,,
0,3,2,391,0,,
1,3,2,392,0,,
0,3,2,393,0,,
1,3,2,394,0,,
1,3,1,395,0,,
0,3,2,396,0,,
0,3,2,397,0,,
0,3,2,398,0,,
1,3,2,399,0,,
0,3,2,400,0,,
0,3,2,401,0,,
0,3,2,402,0,,
1,3,2,403,0,,
1,3,1,404,0,,
0,3,1,405,0,,
0,3,1,406,0,,
1,3,1,407,0,,
1,3,1,408,0,,
1,3,2,409,0,,
1,3,1,410,0,,
1,3,2,411,0,,
1,3,1,412,0,,
0,3,2,413,0,,
1,3,2,414,0,,
0,3,2,415,0,,
1,3,2,416,0,,
0,3,2,417,0,,
1,3,2,418,0,,
1,3,1,419,0,,
0,3,2,420,0,,
1,3,2,421,0,,
1,3,1,422,0,,
0,3,1,423,0,,
0,3,1,424,0,,
1,3,1,425,0,,
0,3,2,426,0,,
0,3,2,427,0,,
1,3,2,428,0,,
0,3,2,429,0,,
1,3,2,430,0,,
1,3,1,431,0,,
0,3,1,432,0,,
0,3,1,433,0,,
1,3,1,434,0,,
0,3,1,435,0,,
1,3,1,436,0,,
1,3,2,437,0,,
0,3,2,438,0,,
0,3,2,439,0,,
0,3,2,440,0,,
0,3,2,441,0,,
1,3,2,442,0,,
1,3,1,443,0,,
1,3,2,444,0,,
0,3,2,445,0,,
1,3,2,446,0,,
0,3,2,447,0,,
1,3,2,448,0,,
0,3,1,449,0,,
1,3,1,450,0,,
0,3,2,451,0,,
1,3,2,452,0,,
0,3,2,453,0,,
1,3,2,454,0,,
0,3,1,455,0,,
0,3,1,456,0,,
1,3,1,457,0,,
0,3,1,458,0,,
1,3,1,459,0,,
1,3,1,460,0,,
1,3,2,461,0,,
0,3,1,462,0,,
1,3,1,463,0,,
1,3,1,464,0,,
1,3,2,465,0,,
0,3,2,466,0,,
0,3,2,467,0,,
1,3,2,468,0,,
1,3,1,469,0,,
1,3,2,470,0,,
1,3,1,471,0,,
1,3,1,472,0,,
0,3,1,473,0,,
1,3,1,474,0,,
1,3,2,475,0,,
1,3,1,476,0,,
1,3,1,477,0,,
1,3,1,478,0,,
1,3,2,479,0,,
1,3,2,480,0,,
1,3,1,481,0,,
1,1,2,482,1,allo_block4,
1,1,1,483,0,,
0,1,2,484,0,,
1,1,2,485,0,,
1,1,1,486,0,,
1,1,1,487,0,,
1,1,1,488,0,,
1,1,2,489,0,,
1,1,2,490,0,,
1,1,2,491,0,,
1,1,2,492,0,,
1,1,1,493,0,,
1,1,2,494,0,,
1,1,2,495,0,,
1,1,1,496,0,,
0,3,2,497,1,ego_block5,
1,3,2,498,0,,
0,3,1,499,0,,
0,3,1,500,0,,
1,3,1,501,0,,
0,3,2,502,0,,
0,3,2,503,0,,
0,3,2,504,0,,
0,3,2,505,0,,
1,3,2,506,0,,
0,3,2,507,0,,
0,3,2,508,0,,
0,3,2,509,0,,
0,3,2,510,0,,
1,3,2,511,0,,
1,3,2,512,0,,
0,3,1,513,0,,
1,3,1,514,0,,
0,3,2,515,0,,
1,3,2,516,0,,
0,3,2,517,0,,
1,3,2,518,0,,
1,3,1,519,0,,
0,3,2,520,0,,
0,3,2,521,0,,
0,3,2,522,0,,
1,3,2,523,0,,
0,3,2,524,0,,
0,3,2,525,0,,
0,3,2,526,0,,
1,3,2,527,0,,
1,3,1,528,0,,
0,3,1,529,0,,
0,3,1,530,0,,
1,3,1,531,0,,
1,3,1,532,0,,
1,3,2,533,0,,
1,3,1,534,0,,
