Animal,Day,trial duration,Correct,Strategy,Trial,Correct arm,Reward zone,Start zone,Start time,End time,Learning stage,Trajectory
HM02,HM02-0419-0108.mat,2.27459664267625,1,3,20,2,2,2,2842420,2849780,3,2
HM02,HM02-0419-0108.mat,2.31651227415141,1,3,21,2,2,2,2886480,2894880,3,2
HM02,HM02-0419-0108.mat,4.17727751574058,1,3,22,2,2,2,2915960,2924120,3,2
HM02,HM02-0419-0108.mat,129.836884505661,0,4,1,2,1,1,2982940,2985320,1,4
HM02,HM02-0419-0108.mat,13.9528357013443,1,4,2,2,2,1,3012980,3028320,1,3
HM02,HM02-0419-0108.mat,4.56657579003213,0,4,3,1,2,2,3055900,3058240,1,2
HM02,HM02-0419-0108.mat,11.4379260317715,1,4,4,1,1,2,3078760,3090960,2,1
HM02,HM02-0419-0108.mat,3.34400149648152,0,4,5,2,1,1,3122740,3125560,2,4
HM02,HM02-0419-0108.mat,8.04471633116786,1,4,6,2,2,1,3153320,3163720,2,3
HM02,HM02-0419-0108.mat,15.7848492187265,0,4,7,1,2,2,3200120,3204740,2,2
HM02,HM02-0419-0108.mat,7.13629868269587,0,4,8,1,2,2,3232220,3237140,2,2
HM02,HM02-0419-0108.mat,8.3239164372729,1,4,9,1,1,2,3255920,3267220,2,1
HM02,HM02-0419-0108.mat,7.7166319426232,0,4,10,1,2,2,3308220,3313180,2,2
HM02,HM02-0419-0108.mat,19.5988483828991,1,4,11,1,1,2,3332020,3352880,2,1
HM02,HM02-0419-0108.mat,6.17804480035235,0,4,12,2,1,1,3392600,3396820,2,4
HM02,HM02-0419-0108.mat,17.9008519113923,1,4,13,2,2,1,3434220,3446500,2,3
HM02,HM02-0419-0108.mat,6.01793007277204,0,4,14,2,1,1,3488580,3493300,2,4
HM02,HM02-0419-0108.mat,12.2912666519855,1,4,15,2,2,1,3525600,3535100,2,3
HM02,HM02-0419-0108.mat,13.8649283951112,1,4,16,2,2,1,3588480,3599300,2,3
HM02,HM02-0419-0108.mat,13.4726038778391,1,4,17,1,1,2,3647240,3657360,2,1
HM02,HM02-0419-0108.mat,49.2318995755798,0,4,18,2,1,1,3734460,3740840,2,4
HM02,HM02-0419-0108.mat,4.15664575529774,1,4,19,2,2,1,3769140,3778120,2,3
HM02,HM02-0419-0108.mat,18.4983043002573,1,4,20,2,2,1,3805820,3825100,2,3
HM02,HM02-0419-0108.mat,5.93386354791243,0,4,21,1,2,2,3855520,3859420,2,2
HM02,HM02-0419-0108.mat,9.21314666219557,0,4,22,1,2,2,3880140,3887700,2,2
HM02,HM02-0419-0108.mat,6.3083417092922,1,4,23,1,1,2,3907260,3915360,2,1
HM02,HM02-0419-0108.mat,9.00221695979019,1,4,24,2,2,1,3942840,3952740,2,3
HM02,HM02-0419-0108.mat,8.02317670593888,0,4,25,2,1,1,3976900,3983160,2,4
HM02,HM02-0419-0108.mat,8.2523329526231,1,4,26,2,2,1,4014540,4023120,2,3
HM02,HM02-0419-0108.mat,9.35653537101731,1,4,27,2,2,1,4053100,4061920,2,3
HM02,HM02-0419-0108.mat,11.4669394951002,0,4,28,1,2,2,4091480,4095160,2,2
HM02,HM02-0419-0108.mat,10.6780146174713,1,4,29,1,1,2,4114040,4127940,2,1
HM02,HM02-0419-0108.mat,17.3154371677961,1,4,30,2,2,1,4194660,4204600,2,3
HM02,HM02-0419-0108.mat,10.8044695288335,0,4,31,2,1,1,4246740,4256960,2,4
HM02,HM02-0419-0108.mat,13.9270213351218,1,4,32,2,2,1,4297520,4306700,2,3
HM02,HM02-0419-0108.mat,41.1408052882354,1,4,33,2,2,1,4374800,4385520,2,3
HM02,HM02-0419-0108.mat,55.4531182740914,1,4,34,2,2,1,4456840,4471740,2,3
HM02,HM02-0419-0108.mat,9.37253416882714,1,4,35,2,2,1,4497280,4511180,2,3
HM02,HM02-0419-0108.mat,20.8842427563288,0,4,36,2,1,1,4553960,4566620,2,4
HM02,HM02-0419-0108.mat,18.4287510775668,1,4,37,2,2,1,4601760,4617740,2,3
HM02,HM02-0429-0108.mat,5.32811134085631,1,1,1,1,1,1,1237880,1246960,3,4
HM02,HM02-0429-0108.mat,5.38647746576622,1,1,2,1,1,1,1306220,1313280,3,4
HM02,HM02-0429-0108.mat,8.30880321317033,1,1,3,1,1,2,1347480,1357540,3,1
HM02,HM02-0429-0108.mat,2.74732446146865,1,1,4,1,1,1,1396960,1404080,3,4
HM02,HM02-0429-0108.mat,3.02142789018498,1,1,5,1,1,1,1450760,1457560,3,4
HM02,HM02-0429-0108.mat,2.16348077036009,1,1,6,1,1,1,1496040,1502660,3,4
HM02,HM02-0429-0108.mat,6.66638436824333,1,1,7,1,1,2,1544940,1553940,3,1
HM02,HM02-0429-0108.mat,9.07804453193818,1,1,8,1,1,2,1584540,1599300,3,1
HM02,HM02-0429-0108.mat,2.53674383358247,1,1,9,1,1,1,1630720,1637300,3,4
HM02,HM02-0429-0108.mat,2.52299406214131,1,1,10,1,1,1,1667600,1674480,3,4
HM02,HM02-0429-0108.mat,4.4024508124683,1,1,11,1,1,2,1702780,1711680,3,1
HM02,HM02-0429-0108.mat,8.36895234131009,1,1,12,1,1,1,1752440,1759020,3,4
HM02,HM02-0429-0108.mat,3.00437733396952,1,1,13,1,1,1,1799620,1806760,3,4
HM02,HM02-0429-0108.mat,6.62659932566799,1,1,14,1,1,2,1841840,1851320,3,1
HM02,HM02-0429-0108.mat,3.55183444765502,1,1,15,1,1,2,1881000,1890380,3,1
HM02,HM02-0429-0108.mat,21.0285077626592,0,2,1,2,1,2,1929280,1947680,1,1
HM02,HM02-0429-0108.mat,6.06888024384059,0,2,2,2,1,2,1972520,1975780,1,1
HM02,HM02-0429-0108.mat,19.3169703657609,1,2,3,2,2,2,2006440,2026420,1,2
HM02,HM02-0429-0108.mat,8.71141366548328,0,2,4,2,1,2,2055680,2062040,1,1
HM02,HM02-0429-0108.mat,4.92818540526653,1,2,5,2,2,2,2088620,2096040,2,2
HM02,HM02-0429-0108.mat,5.46801544056803,0,2,6,2,1,1,2121080,2125760,2,4
HM02,HM02-0429-0108.mat,14.4965888700184,1,2,7,2,2,1,2154460,2169260,2,3
HM02,HM02-0429-0108.mat,4.75691323772789,1,2,8,2,2,2,2207760,2215740,2,2
HM02,HM02-0429-0108.mat,4.76791878453407,1,2,9,2,2,2,2243200,2251080,3,2
HM02,HM02-0429-0108.mat,7.74041603348637,1,2,10,2,2,2,2279900,2290940,3,2
HM02,HM02-0429-0108.mat,9.29663371960334,1,2,11,2,2,1,2322160,2332880,3,3
HM02,HM02-0429-0108.mat,180.155868042802,1,2,12,2,2,1,2401300,2412720,3,3
HM02,HM02-0429-0108.mat,11.236995602995,1,2,13,2,2,1,2447100,2458780,3,3
HM02,HM02-0429-0108.mat,4.23875138469957,1,2,14,2,2,2,2484880,2492580,3,2
HM02,HM02-0429-0108.mat,4.96001299849185,1,2,15,2,2,1,2519520,2528340,3,3
HM02,HM02-0429-0108.mat,1.54521662874036,1,2,16,2,2,2,2549880,2556880,3,2
HM02,HM02-0429-0108.mat,7.35705536329178,1,2,17,2,2,1,2593220,2602500,3,3
HM02,HM02-0429-0108.mat,4.34650116581694,1,3,1,2,2,2,2634600,2641720,1,2
HM02,HM02-0429-0108.mat,3.83158189413555,1,3,2,2,2,2,2675980,2683160,1,2
HM02,HM02-0429-0108.mat,1.50416085838027,1,3,3,2,2,2,2706340,2713480,1,2
HM02,HM02-0429-0108.mat,3.54219545017751,0,3,4,1,2,1,2734440,2736340,1,3
HM02,HM02-0429-0108.mat,3.92804243253343,0,3,5,1,2,1,2756840,2759100,1,3
HM02,HM02-0429-0108.mat,12.8928842531298,0,3,6,1,2,1,2782300,2789800,1,3
HM02,HM02-0429-0108.mat,7.78467131369618,1,3,7,1,1,1,2810520,2822340,2,4
HM02,HM02-0429-0108.mat,3.0610946760804,1,3,8,1,1,1,2857380,2864660,2,4
HM02,HM02-0429-0108.mat,4.87693610428957,1,3,9,2,2,2,2895840,2903000,2,2
HM02,HM02-0429-0108.mat,10.7209523673358,1,3,10,1,1,1,2933900,2942000,3,4
HM02,HM02-0429-0108.mat,6.71101281164082,1,3,11,2,2,2,2999140,3009020,3,2
HM02,HM02-0429-0108.mat,4.24637103075034,1,3,12,2,2,2,3029840,3037580,3,2
HM02,HM02-0429-0108.mat,4.53378869918319,1,3,13,2,2,2,3064620,3072160,3,2
HM02,HM02-0429-0108.mat,8.83282447748445,1,3,14,1,1,1,3106020,3113640,3,4
HM02,HM02-0429-0108.mat,6.19573741858634,1,3,15,2,2,2,3142700,3151460,3,2
HM02,HM02-0429-0108.mat,2.51529767237007,1,3,16,1,1,1,3180540,3187340,3,4
HM02,HM02-0429-0108.mat,5.22781720797854,1,3,17,2,2,2,3215080,3222580,3,2
HM02,HM02-0429-0108.mat,5.21892189727198,1,3,18,2,2,2,3249200,3257320,3,2
HM02,HM02-0429-0108.mat,5.37719890792248,1,3,19,2,2,2,3280140,3288180,3,2
HM02,HM02-0429-0108.mat,60.4203573515869,0,4,1,2,1,1,3379620,3383640,1,4
HM02,HM02-0429-0108.mat,2.02786717194298,1,4,2,2,2,1,3414020,3433740,1,3
HM02,HM02-0429-0108.mat,4.05879864533006,0,4,3,1,2,2,3460920,3463440,1,2
HM02,HM02-0429-0108.mat,10.9924660648507,0,4,4,1,2,2,3482020,3490960,1,2
HM02,HM02-0429-0108.mat,8.16275371199584,1,4,5,1,1,2,3507620,3518860,1,1
HM02,HM02-0429-0108.mat,4.51555219483223,0,4,6,2,1,1,3551600,3554680,1,4
HM02,HM02-0429-0108.mat,100.852682663228,1,4,7,2,2,1,3607920,3625460,2,3
HM02,HM02-0429-0108.mat,22.9600100766089,0,4,8,1,2,2,3671000,3675620,2,2
HM02,HM02-0429-0108.mat,35.7560681836078,1,4,9,1,1,2,3719940,3729980,2,1
HM02,HM02-0429-0108.mat,16.7863868583669,0,4,10,1,2,2,3771040,3781740,2,2
HM02,HM02-0429-0108.mat,13.1610160017884,1,4,11,1,1,2,3797840,3813600,2,1
HM02,HM02-0429-0108.mat,9.87740889611083,0,4,12,2,1,1,3852760,3855020,1,4
HM02,HM02-0523-0109.mat,4.62079310617511,1,1,1,1,1,1,620480,622400,3,4
HM02,HM02-0523-0109.mat,3.1113831853535,1,1,2,1,1,1,650540,652720,3,4
HM02,HM02-0523-0109.mat,5.86245976116355,1,1,3,1,1,2,678920,682660,3,1
HM02,HM02-0523-0109.mat,2.44207916437273,1,1,4,1,1,1,711600,713120,3,4
HM02,HM02-0523-0109.mat,2.40405266213551,1,1,5,1,1,1,746100,747780,3,4
HM02,HM02-0523-0109.mat,2.25315016065905,1,1,6,1,1,1,777960,779660,3,4
HM02,HM02-0523-0109.mat,4.33992627801524,1,1,7,1,1,2,806700,808760,3,1
HM02,HM02-0523-0109.mat,4.2107398894906,1,1,8,1,1,2,839560,841440,3,1
HM02,HM02-0523-0109.mat,4.00468157676099,1,1,9,1,1,1,871740,873420,3,4
HM02,HM02-0523-0109.mat,2.3532413209077,1,1,10,1,1,1,909680,911420,3,4
HM02,HM02-0523-0109.mat,4.08201490175274,1,1,11,1,1,2,944840,946600,3,1
HM02,HM02-0523-0109.mat,2.90729457062492,1,1,12,1,1,1,973340,975420,3,4
HM02,HM02-0523-0109.mat,4.78145096045085,1,1,13,1,1,1,1008060,1011480,3,4
HM02,HM02-0523-0109.mat,5.1755408324241,1,1,14,1,1,2,1059400,1062540,3,1
HM02,HM02-0523-0109.mat,3.58010444239797,1,1,15,1,1,2,1132780,1134860,3,1
HM02,HM02-0523-0109.mat,4.19268264081441,1,1,16,1,1,2,1223700,1225620,3,1
HM02,HM02-0523-0109.mat,3.82427015745588,1,1,17,1,1,2,1310440,1312280,3,1
HM02,HM02-0523-0109.mat,2.54018956366803,1,1,18,1,1,1,1399380,1401160,3,4
HM02,HM02-0523-0109.mat,3.78017014844696,1,1,19,1,1,2,1479540,1481200,3,1
HM02,HM02-0523-0109.mat,5.1453311318205,1,1,20,1,1,2,1560620,1563000,3,1
HM02,HM02-0523-0109.mat,6.73555045995536,1,1,21,1,1,2,1602720,1604820,3,1
HM02,HM02-0523-0109.mat,2.88373200168166,1,1,22,1,1,1,1640060,1642280,3,4
HM02,HM02-0523-0109.mat,2.65514277634858,1,1,23,1,1,1,1672860,1674960,3,4
HM02,HM02-0523-0109.mat,2.48170620914706,1,1,24,1,1,1,1705560,1707560,3,4
HM02,HM02-0523-0109.mat,4.28076658491907,0,2,1,2,1,2,1783500,1785460,1,1
HM02,HM02-0523-0109.mat,4.24004927177906,0,2,2,2,1,2,1806340,1808540,1,1
HM02,HM02-0523-0109.mat,5.7112694007067,0,2,3,2,1,2,1836700,1840080,1,1
HM02,HM02-0523-0109.mat,8.40300399395401,0,2,4,2,1,2,1858720,1864680,1,1
HM02,HM02-0523-0109.mat,15.7649756008448,1,2,5,2,2,2,1882980,1895980,1,2
HM02,HM02-0523-0109.mat,7.78408483798961,0,2,6,2,1,1,1920480,1925720,2,4
HM02,HM02-0523-0109.mat,7.82927289917018,1,2,7,2,2,1,1943700,1950660,2,3
HM02,HM02-0523-0109.mat,7.59113982042222,1,2,8,2,2,2,1976720,1982120,2,2
HM02,HM02-0523-0109.mat,4.75888052872344,1,2,9,2,2,1,2017140,2020980,2,3
HM02,HM02-0523-0109.mat,7.05915894735788,0,2,10,2,1,2,2044660,2049600,2,1
HM02,HM02-0523-0109.mat,5.05356505340287,1,2,11,2,2,2,2070160,2072800,2,2
HM02,HM02-0523-0109.mat,58.3273895176224,1,2,12,2,2,2,2111480,2114160,3,2
HM02,HM02-0523-0109.mat,4.54160709702606,1,2,13,2,2,2,2139560,2141900,3,2
HM02,HM02-0523-0109.mat,6.5072909430336,1,2,14,2,2,1,2174560,2179360,3,3
HM02,HM02-0523-0109.mat,3.14617339265873,1,2,15,2,2,1,2204400,2206960,3,3
HM02,HM02-0523-0109.mat,4.4130631855537,1,2,16,2,2,2,2232640,2234780,3,2
HM02,HM02-0523-0109.mat,3.03342826298035,1,2,17,2,2,1,2270100,2272380,3,3
HM02,HM02-0523-0109.mat,4.59661951031521,1,2,18,2,2,2,2298960,2301420,3,2
HM02,HM02-0523-0109.mat,4.46004766418755,1,2,19,2,2,2,2328300,2330620,3,2
HM02,HM02-0523-0109.mat,4.18720058758171,1,2,20,2,2,2,2415420,2417420,3,2
HM02,HM02-0523-0109.mat,2.6641251278766,1,2,21,2,2,1,2495260,2497340,3,3
HM02,HM02-0523-0109.mat,4.00566378314531,1,2,22,2,2,2,2579300,2581140,3,2
