Animal,Day,trial duration,Correct,Strategy,Trial,Correct arm,Reward zone,Start zone,Start time,End time,Learning stage,Trajectory
HM06,HM06-0417-0107.mat,9.6841046352401,0,4,1,2,1,1,628040,637860,1,4
HM06,HM06-0417-0107.mat,58.0466325254251,1,4,2,2,2,1,712240,717520,1,3
HM06,HM06-0417-0107.mat,28.7931233650535,0,4,3,2,1,1,782360,784700,1,4
HM06,HM06-0417-0107.mat,7.54513969383125,1,4,4,2,2,1,797540,800800,1,3
HM06,HM06-0417-0107.mat,11.3448266022476,0,4,5,1,2,2,832960,835680,1,2
HM06,HM06-0417-0107.mat,7.17097204508448,1,4,6,1,1,2,844340,850880,1,1
HM06,HM06-0417-0107.mat,2.30911645423485,0,4,7,2,1,1,881240,883700,1,4
HM06,HM06-0417-0107.mat,4.01169537310146,0,4,8,2,1,1,889560,893660,1,4
HM06,HM06-0417-0107.mat,5.03791178162454,0,4,9,2,1,1,901940,906960,1,4
HM06,HM06-0417-0107.mat,126.176721380095,1,4,10,2,2,1,1114720,1126680,1,3
HM06,HM06-0417-0107.mat,16.0240336488669,0,4,11,2,1,1,1219500,1225120,1,4
HM06,HM06-0417-0107.mat,2.87571069088167,1,4,12,2,2,1,1246020,1249960,1,3
HM06,HM06-0417-0107.mat,36.6965525321651,1,4,13,2,2,1,1306480,1310380,1,3
HM06,HM06-0417-0107.mat,5.05649680684943,0,4,14,1,2,2,1346520,1350980,1,2
HM06,HM06-0417-0107.mat,5.85568529348958,0,4,15,1,2,2,1363300,1367700,1,2
HM06,HM06-0417-0107.mat,4.07199164942744,0,4,16,1,2,2,1376360,1379340,1,2
HM06,HM06-0417-0107.mat,10.575681723634,0,4,17,1,2,2,1388098,1396900,1,2
HM06,HM06-0417-0107.mat,8.36913791540987,1,4,18,1,1,2,1405400,1413320,1,1
HM06,HM06-0417-0107.mat,4.71202545544938,0,4,19,1,2,2,1427820,1431900,1,2
HM06,HM06-0417-0107.mat,35.5248821580626,0,4,20,1,2,2,1542940,1548780,1,2
HM06,HM06-0417-0107.mat,10.7366288007501,1,4,21,1,1,2,1560840,1571120,1,1
HM06,HM06-0417-0107.mat,69.7832742165604,1,4,22,2,2,1,1718420,1723600,1,3
HM06,HM06-0417-0107.mat,10.1627056919494,0,4,23,2,1,1,1785260,1795700,1,4
HM06,HM06-0417-0107.mat,6.62822331600513,1,4,24,2,2,1,1801740,1808620,1,3
HM06,HM06-0417-0107.mat,6.98352269405814,0,4,25,1,2,2,1827880,1834360,1,2
HM06,HM06-0417-0107.mat,14.3998632090329,1,4,26,1,1,2,1841880,1855580,2,1
HM06,HM06-0417-0107.mat,5.21598041100553,1,4,27,2,2,1,1872380,1877660,2,3
HM06,HM06-0417-0107.mat,22.5450206874116,0,4,28,2,1,1,1910800,1918620,2,4
HM06,HM06-0417-0107.mat,20.2377329234845,1,4,29,2,2,1,1945840,1949620,2,3
HM06,HM06-0417-0107.mat,19.7819408626511,1,4,30,1,1,2,2058280,2061660,2,1
HM06,HM06-0417-0107.mat,8.87974643081173,0,4,31,1,2,2,2087680,2093440,2,2
HM06,HM06-0417-0107.mat,4.14366627839468,1,4,32,1,1,2,2102300,2105720,2,1
HM06,HM06-0417-0107.mat,9.15986577322959,1,4,33,1,1,2,2131980,2134140,2,1
HM06,HM06-0417-0107.mat,3.43888005432026,1,4,34,1,1,2,2152880,2155560,2,1
HM06,HM06-0417-0107.mat,30.0239095087153,1,4,35,2,2,1,2199040,2202420,2,3
HM06,HM06-0417-0107.mat,8.64784637876038,0,4,36,1,2,2,2219740,2227640,2,2
HM06,HM06-0417-0107.mat,3.43693522141847,1,4,37,1,1,2,2235440,2238060,2,1
HM06,HM06-0417-0107.mat,4.45564617756186,1,4,38,1,1,2,2252860,2256240,2,1
HM06,HM06-0417-0107.mat,4.2409133828711,1,4,39,1,1,2,2271720,2275240,2,1
HM06,HM06-0417-0107.mat,9.01579127872835,1,4,40,2,2,1,2323100,2332140,2,3
HM06,HM06-0417-0107.mat,9.51784954488429,1,4,41,2,2,1,2346040,2355660,2,3
HM06,HM06-0417-0107.mat,3.33567814944078,0,4,42,2,1,1,2377460,2381500,2,4
HM06,HM06-0417-0107.mat,5.69600358987534,1,4,43,2,2,1,2456020,2461700,2,3
HM06,HM06-0417-0107.mat,8.93568283139364,0,4,44,1,2,2,2482031,2485580,2,2
HM06,HM06-0417-0107.mat,5.14475272802499,1,4,45,1,1,2,2491740,2495940,2,1
HM06,HM06-0417-0107.mat,295.095539409217,1,4,46,2,2,1,2802820,2809600,2,3
HM06,HM06-0417-0107.mat,11.7596101443424,0,4,47,1,2,2,2826540,2836980,2,2
HM06,HM06-0417-0107.mat,23.9897282281851,0,4,48,1,2,2,2897440,2902180,2,2
HM06,HM06-0417-0107.mat,15.0990580602861,1,4,49,1,1,2,2908280,2922760,2,1
HM06,HM06-0417-0107.mat,35.8975158422977,1,4,50,2,2,1,3051540,3059180,2,3
HM06,HM06-0417-0107.mat,3.98065132497397,1,4,51,1,1,2,3074280,3077580,2,1
HM06,HM06-0417-0107.mat,3.68194290032832,1,4,52,1,1,2,3091140,3093840,2,1
HM06,HM06-0417-0107.mat,5.529906236153,1,4,53,1,1,2,3112060,3115360,2,1
HM06,HM06-0417-0107.mat,22.825068874623,0,4,54,2,1,1,3149200,3152540,2,4
HM06,HM06-0417-0107.mat,3.18010908162721,1,4,55,2,2,1,3159540,3162960,2,3
HM06,HM06-0417-0107.mat,17.544623492179,1,4,56,2,2,1,3187060,3193400,3,3
HM06,HM06-0417-0107.mat,5.36090112244081,1,4,57,1,1,2,3210820,3215600,3,1
HM06,HM06-0417-0107.mat,5.44087227130769,1,4,58,2,2,1,3235260,3238800,3,3
HM06,HM06-0417-0107.mat,3.4809658559779,1,4,59,1,1,2,3255460,3258300,3,1
HM06,HM06-0417-0107.mat,12.6248989019166,1,4,60,1,1,2,3299320,3301280,3,1
HM06,HM06-0417-0107.mat,3.26806497377412,1,4,61,1,1,2,3317620,3320160,3,1
HM06,HM06-0417-0107.mat,2.81559100379041,1,4,62,2,2,1,3334500,3338860,3,3
HM06,HM06-0417-0107.mat,3.6136193437525,1,1,1,1,1,2,3356540,3359360,2,1
HM06,HM06-0417-0107.mat,26.5286358857406,1,1,2,1,1,1,3400460,3403180,2,4
HM06,HM06-0417-0107.mat,31.2308479076022,0,1,3,1,2,2,3480060,3487020,2,2
HM06,HM06-0417-0107.mat,2.78601203520807,1,1,4,1,1,2,3495440,3497700,2,1
