Animal,Day,trial duration,Correct,Strategy,Trial,Correct arm,Reward zone,Start zone,Start time,End time,Learning stage,Trajectory
HM07,HM07-0321-0109.mat,39.9202236215612,1,1,1,1,1,2,546560,558340,2,1
HM07,HM07-0321-0109.mat,16.239699980314,0,1,2,1,2,1,602540,606400,2,3
HM07,HM07-0321-0109.mat,8.41597347324869,0,1,3,1,2,1,627820,635400,2,3
HM07,HM07-0321-0109.mat,6.23883947681887,1,1,4,1,1,1,656420,658640,2,4
HM07,HM07-0321-0109.mat,29.2249141902871,0,1,5,1,2,1,700460,707240,2,3
HM07,HM07-0321-0109.mat,5.11302166463689,1,1,6,1,1,1,726700,729580,2,4
HM07,HM07-0321-0109.mat,7.05571707078627,0,1,7,1,2,2,749480,755980,2,2
HM07,HM07-0321-0109.mat,2.41058862414708,1,1,8,1,1,2,773200,777620,2,1
HM07,HM07-0321-0109.mat,10.964814895981,1,1,9,1,1,2,801320,804880,2,1
HM07,HM07-0321-0109.mat,4.65496910828982,1,1,10,1,1,1,882820,886200,2,4
HM07,HM07-0321-0109.mat,13.0378235274687,0,1,11,1,2,1,915520,918240,2,3
HM07,HM07-0321-0109.mat,3.11285063479088,1,1,12,1,1,1,935180,936920,2,4
HM07,HM07-0321-0109.mat,3.9248309140655,1,1,13,1,1,1,958380,961440,3,4
HM07,HM07-0321-0109.mat,11.256004269198,1,1,14,1,1,2,984380,987320,3,1
HM07,HM07-0321-0109.mat,5.85751801571545,1,1,15,1,1,1,1030680,1033660,3,4
HM07,HM07-0321-0109.mat,17.5214526384278,1,1,16,1,1,2,1054620,1072820,3,1
HM07,HM07-0321-0109.mat,11.3390273495604,1,1,17,1,1,2,1096940,1102260,3,1
HM07,HM07-0321-0109.mat,15.4387296404798,1,1,18,1,1,2,1129040,1136520,3,1
HM07,HM07-0321-0109.mat,9.30071830733555,1,1,19,1,1,2,1157140,1159680,3,1
HM07,HM07-0321-0109.mat,14.5505589206053,1,1,20,1,1,2,1190120,1195960,3,1
HM07,HM07-0321-0109.mat,10.4836795685758,0,3,1,2,1,2,1221440,1223780,1,1
HM07,HM07-0321-0109.mat,12.5472307061944,0,3,2,2,1,2,1240540,1246680,1,1
HM07,HM07-0321-0109.mat,11.256705780017,0,3,3,2,1,2,1263300,1267120,1,1
